from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-08-01T20:30Z,7.5,0.0,50.3,2.4,14.0,11.8,0.0,0.0,14.0
2023-08-01T21:00Z,7.4,0.0,49.6,1.7,14.8,12.5,0.0,0.1,14.0
2023-08-01T21:30Z,6.9,0.0,42.1,1.1,20.7,13.4,0.0,0.0,15.8
2023-08-01T22:00Z,6.9,0.0,37.4,1.0,19.6,14.4,0.0,0.1,20.6
2023-08-01T22:30Z,6.3,0.0,30.1,0.9,23.4,14.5,0.0,0.0,24.8
2023-08-01T23:00Z,7.1,0.0,25.8,0.9,23.1,14.6,0.0,0.1,28.4
2023-08-01T23:30Z,8.6,0.0,27.4,0.8,18.7,14.8,0.0,0.0,29.7
2023-08-02T00:00Z,9.5,0.0,25.4,0.8,18.4,14.7,0.0,0.1,31.2
2023-08-02T00:30Z,9.9,0.0,24.0,0.6,15.9,15.1,0.0,0.0,34.5
2023-08-02T01:00Z,9.5,0.0,22.9,0.4,15.3,14.7,0.0,0.0,37.2
2023-08-02T01:30Z,9.8,0.0,24.6,0.4,12.4,14.4,0.0,0.0,38.3
2023-08-02T02:00Z,9.4,0.0,22.1,0.4,11.7,14.1,0.0,0.0,42.3
2023-08-02T02:30Z,8.7,0.0,23.3,0.5,8.0,14.1,0.0,0.0,45.5
2023-08-02T03:00Z,9.0,0.0,23.0,0.6,7.6,14.0,0.0,0.0,45.8
2023-08-02T03:30Z,8.6,0.0,22.3,0.6,6.7,14.0,0.0,0.0,47.8
2023-08-02T04:00Z,7.9,0.0,23.3,0.7,6.1,13.9,0.0,0.0,48.2
2023-08-02T04:30Z,8.1,0.0,23.4,0.8,8.7,13.1,0.0,0.0,46.0
2023-08-02T05:00Z,7.6,0.0,24.0,1.1,10.2,12.5,0.0,0.3,44.2
2023-08-02T05:30Z,7.3,0.0,21.2,1.5,14.6,11.5,0.0,1.1,42.8
2023-08-02T06:00Z,6.5,0.0,20.8,1.8,14.3,10.9,0.0,2.0,43.7
2023-08-02T06:30Z,5.4,0.0,21.3,1.5,14.9,10.4,0.0,3.3,43.1
2023-08-02T07:00Z,5.1,0.0,21.0,1.3,14.6,10.1,0.0,5.2,42.7
2023-08-02T07:30Z,5.3,0.0,18.1,1.3,16.5,9.8,0.0,7.1,42.0
2023-08-02T08:00Z,5.6,0.0,17.0,1.1,16.7,9.7,0.0,8.4,41.5
2023-08-02T08:30Z,5.7,0.0,17.0,1.0,15.8,9.6,0.0,9.6,41.3
2023-08-02T09:00Z,5.4,0.0,17.3,0.7,15.6,9.6,0.0,10.7,40.7
2023-08-02T09:30Z,5.2,0.0,17.3,0.3,16.1,9.5,0.0,11.3,40.2
2023-08-02T10:00Z,5.7,0.0,18.1,0.4,16.1,9.4,0.0,11.5,38.8
2023-08-02T10:30Z,6.4,0.0,17.9,0.8,16.6,9.2,0.0,11.7,37.4
2023-08-02T11:00Z,6.3,0.0,17.3,0.7,16.6,9.3,0.0,11.7,38.1
2023-08-02T11:30Z,6.4,0.0,16.8,0.6,16.8,9.3,0.0,11.5,38.5
2023-08-02T12:00Z,6.5,0.0,17.1,0.6,17.1,9.4,0.0,11.4,37.9
2023-08-02T12:30Z,6.6,0.0,17.5,0.7,17.2,9.5,0.0,11.9,36.7
2023-08-02T13:00Z,6.5,0.0,17.9,0.9,17.1,9.4,0.0,11.8,36.3
2023-08-02T13:30Z,6.6,0.0,18.1,1.0,17.1,9.5,0.0,10.9,36.8
2023-08-02T14:00Z,6.6,0.0,17.9,1.0,17.0,9.5,0.0,10.5,37.4
2023-08-02T14:30Z,6.1,0.0,19.1,1.3,17.1,9.6,0.0,10.2,36.8
2023-08-02T15:00Z,5.9,0.0,21.4,1.7,17.0,9.6,0.0,9.4,35.0
2023-08-02T15:30Z,4.6,0.0,23.7,2.3,17.0,9.5,0.0,7.9,35.0
2023-08-02T16:00Z,3.4,0.0,23.5,2.8,17.2,9.7,0.0,6.9,36.4
2023-08-02T16:30Z,2.9,0.0,24.2,3.6,17.7,9.8,0.0,5.9,35.9
2023-08-02T17:00Z,3.4,0.0,26.2,4.0,17.7,9.8,0.0,5.0,33.9
2023-08-02T17:30Z,4.5,0.0,26.9,3.9,17.7,9.8,0.0,3.7,33.4
2023-08-02T18:00Z,4.6,0.0,26.7,3.7,18.0,10.0,0.0,2.4,34.6
2023-08-02T18:30Z,4.4,0.0,25.8,3.4,17.3,10.3,0.0,1.2,37.5
2023-08-02T19:00Z,3.6,0.0,26.5,3.2,17.5,10.4,0.0,0.4,38.5
2023-08-02T19:30Z,3.6,0.0,26.6,2.8,17.5,10.4,0.0,0.4,38.7
2023-08-02T20:00Z,3.7,0.0,25.5,2.7,18.8,10.4,0.0,0.1,38.8
