from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-04-17T16:00Z,6.3,0.0,48.6,3.6,11.4,13.4,0.0,5.8,10.9
2023-04-17T16:30Z,6.5,0.0,48.8,4.2,11.2,13.8,0.0,4.5,11.1
2023-04-17T17:00Z,6.5,0.0,48.9,5.3,11.1,13.8,0.0,3.2,11.2
2023-04-17T17:30Z,6.5,0.0,50.9,5.2,9.7,14.0,0.0,1.9,11.8
2023-04-17T18:00Z,6.6,0.0,51.5,4.6,9.7,14.1,0.0,0.9,12.6
2023-04-17T18:30Z,6.7,0.0,52.5,3.1,9.4,14.4,0.0,0.2,13.7
2023-04-17T19:00Z,6.6,0.0,52.4,2.7,9.4,14.5,0.0,0.2,14.3
2023-04-17T19:30Z,6.8,0.0,54.0,2.5,7.1,14.3,0.0,0.1,15.1
2023-04-17T20:00Z,7.0,0.0,53.5,2.3,7.1,14.2,0.0,0.2,15.7
2023-04-17T20:30Z,7.4,0.0,53.7,1.7,6.2,14.3,0.0,0.0,16.8
2023-04-17T21:00Z,7.8,0.0,51.4,1.1,6.6,14.9,0.0,0.1,18.1
2023-04-17T21:30Z,8.3,0.0,42.8,1.0,11.4,15.9,0.0,0.0,20.6
2023-04-17T22:00Z,8.7,0.0,39.3,0.8,12.1,16.7,0.0,0.2,22.1
2023-04-17T22:30Z,9.0,0.0,39.4,0.7,11.1,17.1,0.0,0.0,22.6
2023-04-17T23:00Z,9.1,0.0,38.9,0.6,11.1,17.3,0.0,0.0,23.0
2023-04-17T23:30Z,9.1,0.0,40.5,0.6,10.3,17.4,0.0,0.0,22.1
2023-04-18T00:00Z,9.1,0.0,41.1,0.7,10.1,17.3,0.0,0.0,21.6
2023-04-18T00:30Z,9.0,0.0,40.4,0.7,10.4,17.2,0.0,0.0,22.1
2023-04-18T01:00Z,9.1,0.0,39.6,0.6,10.4,17.2,0.0,0.4,22.8
2023-04-18T01:30Z,9.2,0.0,40.0,0.6,8.5,17.5,0.0,0.0,24.2
2023-04-18T02:00Z,9.2,0.0,39.3,0.6,8.3,17.4,0.0,0.1,25.1
2023-04-18T02:30Z,9.4,0.0,41.6,0.7,4.7,17.8,0.0,0.0,25.8
2023-04-18T03:00Z,9.2,0.0,41.7,0.7,4.3,17.5,0.0,0.1,26.4
2023-04-18T03:30Z,8.6,0.0,44.8,0.8,4.2,16.4,0.0,0.0,25.2
2023-04-18T04:00Z,8.3,0.0,44.6,1.3,4.2,15.7,0.0,0.0,25.9
2023-04-18T04:30Z,7.7,0.0,44.2,2.6,5.2,14.8,0.0,0.0,25.5
2023-04-18T05:00Z,7.4,0.0,44.4,3.4,4.9,14.3,0.0,0.0,25.7
2023-04-18T05:30Z,7.0,0.0,41.4,3.3,9.0,13.5,0.0,0.4,25.4
2023-04-18T06:00Z,6.7,0.0,40.6,4.3,9.0,12.9,0.0,1.4,25.1
2023-04-18T06:30Z,6.4,0.0,39.6,2.9,11.2,12.5,0.0,2.7,24.6
2023-04-18T07:00Z,6.3,0.0,38.4,2.2,11.1,12.3,0.0,4.6,25.1
2023-04-18T07:30Z,6.3,0.0,38.0,1.9,9.2,12.2,0.0,7.1,25.2
2023-04-18T08:00Z,6.3,0.0,34.7,1.5,9.1,12.2,0.0,10.3,25.9
2023-04-18T08:30Z,6.3,0.0,30.3,1.1,10.6,12.1,0.0,13.2,26.4
2023-04-18T09:00Z,6.2,0.0,27.1,1.0,10.7,12.1,0.0,15.8,27.1
2023-04-18T09:30Z,6.3,0.0,23.4,1.0,11.2,12.2,0.0,17.8,28.1
2023-04-18T10:00Z,6.4,0.0,20.8,0.8,11.3,12.2,0.0,19.4,29.1
2023-04-18T10:30Z,6.3,0.0,18.7,0.7,12.3,12.0,0.0,19.8,30.2
2023-04-18T11:00Z,6.2,0.0,16.9,0.6,12.3,11.9,0.0,20.3,31.8
2023-04-18T11:30Z,6.3,0.0,15.3,0.6,12.7,11.9,0.0,20.3,32.9
2023-04-18T12:00Z,6.2,0.0,14.7,0.6,12.7,12.0,0.0,20.1,33.7
2023-04-18T12:30Z,6.4,0.0,14.7,0.6,11.1,12.2,0.0,19.4,35.6
2023-04-18T13:00Z,6.6,0.0,14.0,0.6,11.1,12.3,0.0,18.5,37.0
2023-04-18T13:30Z,6.7,0.0,15.2,0.6,10.8,12.4,0.0,17.0,37.3
2023-04-18T14:00Z,6.6,0.0,16.7,0.7,10.7,12.3,0.0,15.7,37.3
2023-04-18T14:30Z,6.5,0.0,18.4,0.8,11.0,12.2,0.0,13.3,37.7
2023-04-18T15:00Z,6.4,0.0,21.2,0.9,10.8,12.0,0.0,11.2,37.5
2023-04-18T15:30Z,6.4,0.0,21.1,1.0,10.7,12.1,0.0,11.2,37.5
