from,intensity.forecast,intensity.actual
2023-03-19T14:30Z,193,
2023-03-19T15:00Z,197,
2023-03-19T15:30Z,202,
2023-03-19T16:00Z,209,
2023-03-19T16:30Z,214,
2023-03-19T17:00Z,214,
2023-03-19T17:30Z,216,
2023-03-19T18:00Z,216,
2023-03-19T18:30Z,215,
2023-03-19T19:00Z,210,
2023-03-19T19:30Z,205,
2023-03-19T20:00Z,205,
2023-03-19T20:30Z,201,
2023-03-19T21:00Z,194,
2023-03-19T21:30Z,183,
2023-03-19T22:00Z,176,
2023-03-19T22:30Z,169,
2023-03-19T23:00Z,167,
2023-03-19T23:30Z,168,
2023-03-20T00:00Z,168,
2023-03-20T00:30Z,168,
2023-03-20T01:00Z,166,
2023-03-20T01:30Z,161,
2023-03-20T02:00Z,152,
2023-03-20T02:30Z,149,
2023-03-20T03:00Z,142,
2023-03-20T03:30Z,141,
2023-03-20T04:00Z,139,
2023-03-20T04:30Z,139,
2023-03-20T05:00Z,138,
2023-03-20T05:30Z,143,
2023-03-20T06:00Z,148,
2023-03-20T06:30Z,160,
2023-03-20T07:00Z,161,
2023-03-20T07:30Z,160,
2023-03-20T08:00Z,157,
2023-03-20T08:30Z,155,
2023-03-20T09:00Z,153,
2023-03-20T09:30Z,151,
2023-03-20T10:00Z,146,
2023-03-20T10:30Z,144,
2023-03-20T11:00Z,143,
2023-03-20T11:30Z,143,
2023-03-20T12:00Z,143,
2023-03-20T12:30Z,141,
2023-03-20T13:00Z,140,
2023-03-20T13:30Z,140,
2023-03-20T14:00Z,139,
2023-03-20T14:30Z,138,
2023-03-20T15:00Z,138,
2023-03-20T15:30Z,139,
2023-03-20T16:00Z,141,
2023-03-20T16:30Z,142,
2023-03-20T17:00Z,143,
2023-03-20T17:30Z,142,
2023-03-20T18:00Z,140,
2023-03-20T18:30Z,140,
2023-03-20T19:00Z,139,
2023-03-20T19:30Z,136,
2023-03-20T20:00Z,129,
2023-03-20T20:30Z,122,
2023-03-20T21:00Z,119,
2023-03-20T21:30Z,105,
2023-03-20T22:00Z,93,
2023-03-20T22:30Z,94,
2023-03-20T23:00Z,88,
2023-03-20T23:30Z,86,
2023-03-21T00:00Z,86,
2023-03-21T00:30Z,88,
2023-03-21T01:00Z,84,
2023-03-21T01:30Z,83,
2023-03-21T02:00Z,84,
2023-03-21T02:30Z,84,
2023-03-21T03:00Z,83,
2023-03-21T03:30Z,82,
2023-03-21T04:00Z,81,
2023-03-21T04:30Z,81,
2023-03-21T05:00Z,82,
2023-03-21T05:30Z,86,
2023-03-21T06:00Z,88,
2023-03-21T06:30Z,87,
2023-03-21T07:00Z,84,
2023-03-21T07:30Z,83,
2023-03-21T08:00Z,85,
2023-03-21T08:30Z,82,
2023-03-21T09:00Z,79,
2023-03-21T09:30Z,77,
2023-03-21T10:00Z,73,
2023-03-21T10:30Z,67,
2023-03-21T11:00Z,65,
2023-03-21T11:30Z,63,
2023-03-21T12:00Z,61,
2023-03-21T12:30Z,63,
2023-03-21T13:00Z,64,
2023-03-21T13:30Z,63,
2023-03-21T14:00Z,62,
