from,intensity.forecast,intensity.actual
2023-05-21T02:30Z,101,100.0
2023-05-21T03:00Z,109,99.0
2023-05-21T03:30Z,105,100.0
2023-05-21T04:00Z,109,102.0
2023-05-21T04:30Z,92,100.0
2023-05-21T05:00Z,82,97.0
2023-05-21T05:30Z,68,90.0
2023-05-21T06:00Z,64,85.0
2023-05-21T06:30Z,99,92.0
2023-05-21T07:00Z,103,87.0
2023-05-21T07:30Z,96,83.0
2023-05-21T08:00Z,96,79.0
2023-05-21T08:30Z,82,76.0
2023-05-21T09:00Z,82,75.0
2023-05-21T09:30Z,74,74.0
2023-05-21T10:00Z,74,76.0
2023-05-21T10:30Z,75,80.0
2023-05-21T11:00Z,74,80.0
2023-05-21T11:30Z,78,87.0
2023-05-21T12:00Z,79,88.0
2023-05-21T12:30Z,85,86.0
2023-05-21T13:00Z,87,86.0
2023-05-21T13:30Z,86,89.0
2023-05-21T14:00Z,88,93.0
2023-05-21T14:30Z,98,94.0
2023-05-21T15:00Z,100,106.0
2023-05-21T15:30Z,101,107.0
2023-05-21T16:00Z,106,119.0
2023-05-21T16:30Z,119,119.0
2023-05-21T17:00Z,123,120.0
2023-05-21T17:30Z,127,124.0
2023-05-21T18:00Z,131,128.0
2023-05-21T18:30Z,128,131.0
2023-05-21T19:00Z,131,133.0
2023-05-21T19:30Z,128,135.0
2023-05-21T20:00Z,132,134.0
2023-05-21T20:30Z,136,130.0
2023-05-21T21:00Z,140,121.0
2023-05-21T21:30Z,172,119.0
2023-05-21T22:00Z,164,113.0
2023-05-21T22:30Z,121,126.0
2023-05-21T23:00Z,115,124.0
2023-05-21T23:30Z,130,121.0
2023-05-22T00:00Z,129,120.0
2023-05-22T00:30Z,126,125.0
2023-05-22T01:00Z,130,124.0
2023-05-22T01:30Z,127,125.0
2023-05-22T02:00Z,128,
