from,intensity.forecast,intensity.actual
2023-03-16T19:00Z,140,146.0
2023-03-16T19:30Z,144,145.0
2023-03-16T20:00Z,144,140.0
2023-03-16T20:30Z,140,137.0
2023-03-16T21:00Z,137,124.0
2023-03-16T21:30Z,135,107.0
2023-03-16T22:00Z,134,99.0
2023-03-16T22:30Z,118,86.0
2023-03-16T23:00Z,97,79.0
2023-03-16T23:30Z,91,79.0
2023-03-17T00:00Z,80,79.0
2023-03-17T00:30Z,81,81.0
2023-03-17T01:00Z,87,79.0
2023-03-17T01:30Z,98,81.0
2023-03-17T02:00Z,102,87.0
2023-03-17T02:30Z,110,94.0
2023-03-17T03:00Z,94,93.0
2023-03-17T03:30Z,94,88.0
2023-03-17T04:00Z,113,91.0
2023-03-17T04:30Z,96,95.0
2023-03-17T05:00Z,96,111.0
2023-03-17T05:30Z,100,132.0
2023-03-17T06:00Z,117,156.0
2023-03-17T06:30Z,137,175.0
2023-03-17T07:00Z,124,183.0
2023-03-17T07:30Z,125,190.0
2023-03-17T08:00Z,181,188.0
2023-03-17T08:30Z,185,183.0
2023-03-17T09:00Z,177,179.0
2023-03-17T09:30Z,180,180.0
2023-03-17T10:00Z,176,178.0
2023-03-17T10:30Z,179,175.0
2023-03-17T11:00Z,177,173.0
2023-03-17T11:30Z,175,173.0
2023-03-17T12:00Z,174,178.0
2023-03-17T12:30Z,173,177.0
2023-03-17T13:00Z,176,181.0
2023-03-17T13:30Z,178,176.0
2023-03-17T14:00Z,183,175.0
2023-03-17T14:30Z,177,182.0
2023-03-17T15:00Z,177,192.0
2023-03-17T15:30Z,191,196.0
2023-03-17T16:00Z,202,206.0
2023-03-17T16:30Z,200,215.0
2023-03-17T17:00Z,206,215.0
2023-03-17T17:30Z,217,218.0
2023-03-17T18:00Z,219,216.0
2023-03-17T18:30Z,220,
