from,intensity.forecast,intensity.actual
2023-04-27T01:30Z,246,248
2023-04-27T02:00Z,245,246
2023-04-27T02:30Z,249,246
2023-04-27T03:00Z,249,244
2023-04-27T03:30Z,243,242
2023-04-27T04:00Z,254,244
2023-04-27T04:30Z,262,240
2023-04-27T05:00Z,247,233
2023-04-27T05:30Z,244,218
2023-04-27T06:00Z,240,215
2023-04-27T06:30Z,232,213
2023-04-27T07:00Z,222,210
2023-04-27T07:30Z,208,200
2023-04-27T08:00Z,203,196
2023-04-27T08:30Z,186,187
2023-04-27T09:00Z,183,180
2023-04-27T09:30Z,181,174
2023-04-27T10:00Z,175,166
2023-04-27T10:30Z,165,160
2023-04-27T11:00Z,156,152
2023-04-27T11:30Z,157,143
2023-04-27T12:00Z,151,133
2023-04-27T12:30Z,143,125
2023-04-27T13:00Z,134,127
2023-04-27T13:30Z,130,141
2023-04-27T14:00Z,126,150
2023-04-27T14:30Z,153,157
2023-04-27T15:00Z,160,162
2023-04-27T15:30Z,163,177
2023-04-27T16:00Z,165,180
2023-04-27T16:30Z,176,180
2023-04-27T17:00Z,180,179
2023-04-27T17:30Z,176,185
2023-04-27T18:00Z,175,187
2023-04-27T18:30Z,177,190
2023-04-27T19:00Z,185,188
2023-04-27T19:30Z,178,184
2023-04-27T20:00Z,172,177
2023-04-27T20:30Z,170,171
2023-04-27T21:00Z,159,162
2023-04-27T21:30Z,156,140
2023-04-27T22:00Z,165,134
2023-04-27T22:30Z,151,133
2023-04-27T23:00Z,132,133
2023-04-27T23:30Z,128,128
2023-04-28T00:00Z,134,134
2023-04-28T00:30Z,133,133
2023-04-28T01:00Z,138,133
