Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2018-12-01T00:00Z,193,202,moderate
2018-12-01T00:30Z,180,196,moderate
2018-12-01T01:00Z,174,180,low
2018-12-01T01:30Z,172,180,low
2018-12-01T02:00Z,175,179,low
2018-12-01T02:30Z,180,179,moderate
2018-12-01T03:00Z,189,180,moderate
2018-12-01T03:30Z,196,181,moderate
2018-12-01T04:00Z,192,195,moderate
2018-12-01T04:30Z,188,202,moderate
2018-12-01T05:00Z,187,194,moderate
2018-12-01T05:30Z,187,188,moderate
2018-12-01T06:00Z,186,189,moderate
2018-12-01T06:30Z,195,188,moderate
2018-12-01T07:00Z,207,185,moderate
2018-12-01T07:30Z,217,199,moderate
2018-12-01T08:00Z,228,216,moderate
2018-12-01T08:30Z,245,221,moderate
2018-12-01T09:00Z,256,231,moderate
2018-12-01T09:30Z,254,258,moderate
2018-12-01T10:00Z,258,258,moderate
2018-12-01T10:30Z,264,266,moderate
2018-12-01T11:00Z,260,264,moderate
2018-12-01T11:30Z,259,268,moderate
2018-12-01T12:00Z,262,260,moderate
2018-12-01T12:30Z,263,256,moderate
2018-12-01T13:00Z,261,262,moderate
2018-12-01T13:30Z,259,263,moderate
2018-12-01T14:00Z,259,264,moderate
2018-12-01T14:30Z,263,259,moderate
2018-12-01T15:00Z,264,262,moderate
2018-12-01T15:30Z,269,264,moderate
2018-12-01T16:00Z,279,267,moderate
2018-12-01T16:30Z,292,275,high
2018-12-01T17:00Z,294,286,high
2018-12-01T17:30Z,294,300,high
2018-12-01T18:00Z,296,302,high
2018-12-01T18:30Z,298,299,high
2018-12-01T19:00Z,297,298,high
2018-12-01T19:30Z,299,297,high
2018-12-01T20:00Z,294,299,high
2018-12-01T20:30Z,282,301,high
2018-12-01T21:00Z,267,296,moderate
2018-12-01T21:30Z,254,279,moderate
2018-12-01T22:00Z,245,263,moderate
2018-12-01T22:30Z,242,247,moderate
2018-12-01T23:00Z,228,246,moderate
2018-12-01T23:30Z,213,244,moderate
2018-12-02T00:00Z,212,225,moderate
2018-12-02T00:30Z,215,210,moderate
2018-12-02T01:00Z,218,217,moderate
2018-12-02T01:30Z,207,221,moderate
2018-12-02T02:00Z,203,225,moderate
2018-12-02T02:30Z,199,210,moderate
2018-12-02T03:00Z,199,203,moderate
2018-12-02T03:30Z,208,194,moderate
2018-12-02T04:00Z,207,203,moderate
2018-12-02T04:30Z,207,213,moderate
2018-12-02T05:00Z,215,215,moderate
2018-12-02T05:30Z,219,213,moderate
2018-12-02T06:00Z,220,223,moderate
2018-12-02T06:30Z,223,224,moderate
2018-12-02T07:00Z,222,222,moderate
2018-12-02T07:30Z,220,225,moderate
2018-12-02T08:00Z,212,222,moderate
2018-12-02T08:30Z,215,215,moderate
2018-12-02T09:00Z,220,206,moderate
2018-12-02T09:30Z,233,212,moderate
2018-12-02T10:00Z,238,222,moderate
2018-12-02T10:30Z,233,232,moderate
2018-12-02T11:00Z,231,237,moderate
2018-12-02T11:30Z,232,231,moderate
2018-12-02T12:00Z,232,229,moderate
2018-12-02T12:30Z,236,230,moderate
2018-12-02T13:00Z,237,232,moderate
2018-12-02T13:30Z,236,235,moderate
2018-12-02T14:00Z,236,237,moderate
2018-12-02T14:30Z,244,233,moderate
2018-12-02T15:00Z,244,239,moderate
2018-12-02T15:30Z,243,246,moderate
2018-12-02T16:00Z,263,242,moderate
2018-12-02T16:30Z,267,249,moderate
2018-12-02T17:00Z,258,272,moderate
2018-12-02T17:30Z,260,270,moderate
2018-12-02T18:00Z,260,263,moderate
2018-12-02T18:30Z,258,268,moderate
2018-12-02T19:00Z,254,263,moderate
2018-12-02T19:30Z,243,254,moderate
2018-12-02T20:00Z,228,245,moderate
2018-12-02T20:30Z,216,234,moderate
2018-12-02T21:00Z,195,221,moderate
2018-12-02T21:30Z,177,208,low
2018-12-02T22:00Z,169,185,low
2018-12-02T22:30Z,159,171,low
2018-12-02T23:00Z,139,166,low
2018-12-02T23:30Z,131,153,low
2018-12-03T00:00Z,131,135,low
2018-12-03T00:30Z,128,134,low
2018-12-03T01:00Z,129,127,low
2018-12-03T01:30Z,128,132,low
2018-12-03T02:00Z,129,135,low
2018-12-03T02:30Z,129,136,low
2018-12-03T03:00Z,127,132,low
2018-12-03T03:30Z,127,129,low
2018-12-03T04:00Z,133,126,low
2018-12-03T04:30Z,144,129,low
2018-12-03T05:00Z,153,139,low
2018-12-03T05:30Z,170,151,low
2018-12-03T06:00Z,188,166,moderate
2018-12-03T06:30Z,217,190,moderate
2018-12-03T07:00Z,250,200,moderate
2018-12-03T07:30Z,269,238,moderate
2018-12-03T08:00Z,284,273,high
2018-12-03T08:30Z,286,284,high
2018-12-03T09:00Z,290,300,high
2018-12-03T09:30Z,291,300,high
2018-12-03T10:00Z,293,285,high
2018-12-03T10:30Z,292,287,high
2018-12-03T11:00Z,292,289,high
2018-12-03T11:30Z,293,291,high
2018-12-03T12:00Z,294,292,high
2018-12-03T12:30Z,293,294,high
2018-12-03T13:00Z,288,297,high
2018-12-03T13:30Z,283,292,high
2018-12-03T14:00Z,285,286,high
2018-12-03T14:30Z,294,283,high
2018-12-03T15:00Z,305,285,high
2018-12-03T15:30Z,314,300,high
2018-12-03T16:00Z,329,314,high
2018-12-03T16:30Z,330,320,high
2018-12-03T17:00Z,333,332,high
2018-12-03T17:30Z,334,337,high
2018-12-03T18:00Z,331,337,high
2018-12-03T18:30Z,333,333,high
2018-12-03T19:00Z,339,329,high
2018-12-03T19:30Z,344,329,high
2018-12-03T20:00Z,347,345,high
2018-12-03T20:30Z,347,346,high
2018-12-03T21:00Z,335,353,high
2018-12-03T21:30Z,318,348,high
2018-12-03T22:00Z,305,335,high
2018-12-03T22:30Z,289,314,high
2018-12-03T23:00Z,284,302,high
