Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2020-07-01T00:00Z,203,207,moderate
2020-07-01T00:30Z,194,200,moderate
2020-07-01T01:00Z,186,192,moderate
2020-07-01T01:30Z,187,193,moderate
2020-07-01T02:00Z,186,192,moderate
2020-07-01T02:30Z,187,182,moderate
2020-07-01T03:00Z,185,179,moderate
2020-07-01T03:30Z,196,183,moderate
2020-07-01T04:00Z,206,188,moderate
2020-07-01T04:30Z,216,195,moderate
2020-07-01T05:00Z,223,197,moderate
2020-07-01T05:30Z,222,214,moderate
2020-07-01T06:00Z,225,214,moderate
2020-07-01T06:30Z,224,224,moderate
2020-07-01T07:00Z,222,226,moderate
2020-07-01T07:30Z,219,226,moderate
2020-07-01T08:00Z,218,225,moderate
2020-07-01T08:30Z,218,225,moderate
2020-07-01T09:00Z,218,222,moderate
2020-07-01T09:30Z,219,221,moderate
2020-07-01T10:00Z,223,222,moderate
2020-07-01T10:30Z,221,220,moderate
2020-07-01T11:00Z,217,218,moderate
2020-07-01T11:30Z,216,219,moderate
2020-07-01T12:00Z,217,219,moderate
2020-07-01T12:30Z,214,218,moderate
2020-07-01T13:00Z,212,217,moderate
2020-07-01T13:30Z,210,217,moderate
2020-07-01T14:00Z,211,216,moderate
2020-07-01T14:30Z,214,215,moderate
2020-07-01T15:00Z,215,215,moderate
2020-07-01T15:30Z,223,216,moderate
2020-07-01T16:00Z,228,220,moderate
2020-07-01T16:30Z,228,222,moderate
2020-07-01T17:00Z,227,226,moderate
2020-07-01T17:30Z,233,233,high
2020-07-01T18:00Z,243,239,high
2020-07-01T18:30Z,247,229,high
2020-07-01T19:00Z,249,243,high
2020-07-01T19:30Z,255,247,high
2020-07-01T20:00Z,254,247,high
2020-07-01T20:30Z,253,251,high
2020-07-01T21:00Z,251,252,high
2020-07-01T21:30Z,240,248,high
2020-07-01T22:00Z,225,245,moderate
2020-07-01T22:30Z,218,241,moderate
2020-07-01T23:00Z,210,237,moderate
2020-07-01T23:30Z,212,227,moderate
2020-07-02T00:00Z,215,223,moderate
2020-07-02T00:30Z,219,220,moderate
2020-07-02T01:00Z,216,215,moderate
2020-07-02T01:30Z,218,214,moderate
2020-07-02T02:00Z,220,217,moderate
2020-07-02T02:30Z,221,217,moderate
2020-07-02T03:00Z,216,212,moderate
2020-07-02T03:30Z,213,221,moderate
2020-07-02T04:00Z,215,223,moderate
2020-07-02T04:30Z,219,228,moderate
2020-07-02T05:00Z,224,225,moderate
2020-07-02T05:30Z,230,227,high
2020-07-02T06:00Z,237,226,high
2020-07-02T06:30Z,240,227,high
2020-07-02T07:00Z,242,227,high
2020-07-02T07:30Z,243,232,high
2020-07-02T08:00Z,241,235,high
2020-07-02T08:30Z,238,237,high
2020-07-02T09:00Z,236,238,high
2020-07-02T09:30Z,234,240,high
2020-07-02T10:00Z,231,238,high
2020-07-02T10:30Z,231,234,high
2020-07-02T11:00Z,230,233,high
2020-07-02T11:30Z,227,232,moderate
2020-07-02T12:00Z,226,230,moderate
2020-07-02T12:30Z,222,230,moderate
2020-07-02T13:00Z,221,228,moderate
2020-07-02T13:30Z,220,229,moderate
2020-07-02T14:00Z,223,228,moderate
2020-07-02T14:30Z,226,223,moderate
2020-07-02T15:00Z,234,228,high
2020-07-02T15:30Z,237,227,high
2020-07-02T16:00Z,239,231,high
2020-07-02T16:30Z,237,235,high
2020-07-02T17:00Z,235,240,high
2020-07-02T17:30Z,240,243,high
2020-07-02T18:00Z,244,248,high
2020-07-02T18:30Z,251,245,high
2020-07-02T19:00Z,257,249,high
2020-07-02T19:30Z,262,252,high
2020-07-02T20:00Z,262,223,high
2020-07-02T20:30Z,266,260,high
2020-07-02T21:00Z,263,260,high
2020-07-02T21:30Z,248,261,high
2020-07-02T22:00Z,235,259,high
2020-07-02T22:30Z,229,258,moderate
2020-07-02T23:00Z,220,252,moderate
2020-07-02T23:30Z,214,232,moderate
2020-07-03T00:00Z,212,229,moderate
2020-07-03T00:30Z,208,224,moderate
2020-07-03T01:00Z,196,213,moderate
2020-07-03T01:30Z,194,207,moderate
2020-07-03T02:00Z,196,206,moderate
2020-07-03T02:30Z,194,200,moderate
2020-07-03T03:00Z,188,177,moderate
2020-07-03T03:30Z,179,184,moderate
2020-07-03T04:00Z,166,185,moderate
2020-07-03T04:30Z,161,185,moderate
2020-07-03T05:00Z,169,178,moderate
2020-07-03T05:30Z,173,174,moderate
2020-07-03T06:00Z,173,162,moderate
2020-07-03T06:30Z,168,161,moderate
2020-07-03T07:00Z,163,160,moderate
2020-07-03T07:30Z,152,160,moderate
2020-07-03T08:00Z,143,156,low
2020-07-03T08:30Z,138,149,low
2020-07-03T09:00Z,132,147,low
2020-07-03T09:30Z,127,134,low
2020-07-03T10:00Z,123,131,low
2020-07-03T10:30Z,116,127,low
2020-07-03T11:00Z,116,122,low
2020-07-03T11:30Z,117,120,low
2020-07-03T12:00Z,113,115,low
2020-07-03T12:30Z,107,108,low
2020-07-03T13:00Z,105,110,low
2020-07-03T13:30Z,107,113,low
2020-07-03T14:00Z,110,112,low
2020-07-03T14:30Z,113,117,low
2020-07-03T15:00Z,118,119,low
2020-07-03T15:30Z,120,118,low
2020-07-03T16:00Z,122,120,low
2020-07-03T16:30Z,125,121,low
2020-07-03T17:00Z,122,124,low
2020-07-03T17:30Z,121,119,low
2020-07-03T18:00Z,122,124,low
2020-07-03T18:30Z,125,126,low
2020-07-03T19:00Z,129,123,low
2020-07-03T19:30Z,125,127,low
2020-07-03T20:00Z,126,123,low
2020-07-03T20:30Z,124,128,low
2020-07-03T21:00Z,123,127,low
2020-07-03T21:30Z,110,124,low
2020-07-03T22:00Z,95,123,low
2020-07-03T22:30Z,94,121,low
2020-07-03T23:00Z,94,119,low
2020-07-03T23:30Z,92,109,low
2020-07-04T00:00Z,91,111,low
2020-07-04T00:30Z,92,103,low
2020-07-04T01:00Z,91,101,low
2020-07-04T01:30Z,94,99,low
2020-07-04T02:00Z,98,100,low
2020-07-04T02:30Z,97,100,low
2020-07-04T03:00Z,95,99,low
2020-07-04T03:30Z,94,103,low
2020-07-04T04:00Z,95,103,low
2020-07-04T04:30Z,94,104,low
2020-07-04T05:00Z,96,99,low
2020-07-04T05:30Z,96,102,low
2020-07-04T06:00Z,95,103,low
2020-07-04T06:30Z,95,105,low
2020-07-04T07:00Z,103,105,low
2020-07-04T07:30Z,107,105,low
2020-07-04T08:00Z,108,105,low
2020-07-04T08:30Z,109,107,low
2020-07-04T09:00Z,115,115,low
2020-07-04T09:30Z,120,114,low
2020-07-04T10:00Z,122,114,low
2020-07-04T10:30Z,119,115,low
2020-07-04T11:00Z,121,120,low
2020-07-04T11:30Z,122,123,low
2020-07-04T12:00Z,117,121,low
2020-07-04T12:30Z,113,119,low
2020-07-04T13:00Z,114,122,low
2020-07-04T13:30Z,118,124,low
2020-07-04T14:00Z,118,122,low
2020-07-04T14:30Z,123,126,low
2020-07-04T15:00Z,131,133,low
2020-07-04T15:30Z,132,136,low
2020-07-04T16:00Z,132,138,low
2020-07-04T16:30Z,134,143,low
2020-07-04T17:00Z,128,146,low
2020-07-04T17:30Z,122,146,low
2020-07-04T18:00Z,122,144,low
2020-07-04T18:30Z,124,139,low
2020-07-04T19:00Z,116,125,low
2020-07-04T19:30Z,110,119,low
2020-07-04T20:00Z,108,118,low
2020-07-04T20:30Z,108,120,low
2020-07-04T21:00Z,97,112,low
2020-07-04T21:30Z,81,108,low
2020-07-04T22:00Z,74,103,low
2020-07-04T22:30Z,74,106,low
2020-07-04T23:00Z,74,92,low
2020-07-04T23:30Z,76,80,low
2020-07-05T00:00Z,78,81,low
2020-07-05T00:30Z,81,78,low
2020-07-05T01:00Z,81,78,low
2020-07-05T01:30Z,81,79,low
2020-07-05T02:00Z,80,82,low
2020-07-05T02:30Z,80,83,low
2020-07-05T03:00Z,80,83,low
2020-07-05T03:30Z,80,83,low
2020-07-05T04:00Z,81,82,low
2020-07-05T04:30Z,81,81,low
2020-07-05T05:00Z,78,82,low
2020-07-05T05:30Z,75,82,low
2020-07-05T06:00Z,73,81,low
2020-07-05T06:30Z,74,79,low
2020-07-05T07:00Z,73,74,low
2020-07-05T07:30Z,71,72,low
2020-07-05T08:00Z,73,70,low
2020-07-05T08:30Z,79,71,low
2020-07-05T09:00Z,85,69,low
2020-07-05T09:30Z,82,70,low
2020-07-05T10:00Z,86,72,low
2020-07-05T10:30Z,87,80,low
2020-07-05T11:00Z,86,81,low
2020-07-05T11:30Z,86,85,low
2020-07-05T12:00Z,84,85,low
2020-07-05T12:30Z,90,85,low
2020-07-05T13:00Z,88,83,low
2020-07-05T13:30Z,83,83,low
2020-07-05T14:00Z,79,82,low
2020-07-05T14:30Z,77,88,low
2020-07-05T15:00Z,77,83,low
2020-07-05T15:30Z,81,80,low
2020-07-05T16:00Z,89,79,low
2020-07-05T16:30Z,83,80,low
2020-07-05T17:00Z,73,82,low
2020-07-05T17:30Z,70,88,low
2020-07-05T18:00Z,72,95,low
2020-07-05T18:30Z,72,83,low
2020-07-05T19:00Z,68,81,low
2020-07-05T19:30Z,70,80,low
2020-07-05T20:00Z,71,79,low
2020-07-05T20:30Z,75,74,low
2020-07-05T21:00Z,77,73,low
2020-07-05T21:30Z,78,70,low
2020-07-05T22:00Z,75,73,low
2020-07-05T22:30Z,75,78,low
