Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2018-11-01T00:00Z,279,271,moderate
2018-11-01T00:30Z,277,267,moderate
2018-11-01T01:00Z,287,274,high
2018-11-01T01:30Z,288,278,high
2018-11-01T02:00Z,272,272,moderate
2018-11-01T02:30Z,273,273,moderate
2018-11-01T03:00Z,274,274,moderate
2018-11-01T03:30Z,272,272,moderate
2018-11-01T04:00Z,268,268,moderate
2018-11-01T04:30Z,268,267,moderate
2018-11-01T05:00Z,269,269,moderate
2018-11-01T05:30Z,273,273,moderate
2018-11-01T06:00Z,277,276,moderate
2018-11-01T06:30Z,281,281,high
2018-11-01T07:00Z,291,290,high
2018-11-01T07:30Z,303,303,high
2018-11-01T08:00Z,317,316,high
2018-11-01T08:30Z,325,325,high
2018-11-01T09:00Z,329,328,high
2018-11-01T09:30Z,327,326,high
2018-11-01T10:00Z,325,324,high
2018-11-01T10:30Z,323,322,high
2018-11-01T11:00Z,322,321,high
2018-11-01T11:30Z,319,317,high
2018-11-01T12:00Z,317,316,high
2018-11-01T12:30Z,318,315,high
2018-11-01T13:00Z,318,317,high
2018-11-01T13:30Z,318,318,high
2018-11-01T14:00Z,321,316,high
2018-11-01T14:30Z,322,319,high
2018-11-01T15:00Z,325,322,high
2018-11-01T15:30Z,332,310,high
2018-11-01T16:00Z,348,330,high
2018-11-01T16:30Z,356,337,high
2018-11-01T17:00Z,359,359,high
2018-11-01T17:30Z,357,359,high
2018-11-01T18:00Z,352,358,high
2018-11-01T18:30Z,352,351,high
2018-11-01T19:00Z,350,347,high
2018-11-01T19:30Z,342,344,high
2018-11-01T20:00Z,324,348,high
2018-11-01T20:30Z,305,337,high
2018-11-01T21:00Z,289,311,high
2018-11-01T21:30Z,275,299,moderate
2018-11-01T22:00Z,258,284,moderate
2018-11-01T22:30Z,240,274,moderate
2018-11-01T23:00Z,228,253,moderate
2018-11-01T23:30Z,220,234,moderate
2018-11-02T00:00Z,217,223,moderate
2018-11-02T00:30Z,206,216,moderate
2018-11-02T01:00Z,211,201,moderate
2018-11-02T01:30Z,218,210,moderate
2018-11-02T02:00Z,224,221,moderate
2018-11-02T02:30Z,223,227,moderate
2018-11-02T03:00Z,223,224,moderate
2018-11-02T03:30Z,221,221,moderate
2018-11-02T04:00Z,221,224,moderate
2018-11-02T04:30Z,226,221,moderate
2018-11-02T05:00Z,230,224,moderate
2018-11-02T05:30Z,240,230,moderate
2018-11-02T06:00Z,265,234,moderate
2018-11-02T06:30Z,290,250,high
2018-11-02T07:00Z,320,280,high
2018-11-02T07:30Z,346,314,high
2018-11-02T08:00Z,347,341,high
2018-11-02T08:30Z,336,362,high
2018-11-02T09:00Z,328,338,high
2018-11-02T09:30Z,323,325,high
2018-11-02T10:00Z,321,316,high
2018-11-02T10:30Z,323,312,high
2018-11-02T11:00Z,318,321,high
2018-11-02T11:30Z,322,320,high
2018-11-02T12:00Z,317,307,high
2018-11-02T12:30Z,310,327,high
2018-11-02T13:00Z,314,320,high
2018-11-02T13:30Z,321,312,high
2018-11-02T14:00Z,323,318,high
2018-11-02T14:30Z,326,323,high
2018-11-02T15:00Z,327,323,high
2018-11-02T15:30Z,334,330,high
2018-11-02T16:00Z,339,329,high
2018-11-02T16:30Z,332,340,high
2018-11-02T17:00Z,332,339,high
2018-11-02T17:30Z,330,329,high
2018-11-02T18:00Z,329,335,high
2018-11-02T18:30Z,325,330,high
2018-11-02T19:00Z,321,320,high
2018-11-02T19:30Z,314,315,high
2018-11-02T20:00Z,297,322,high
2018-11-02T20:30Z,278,313,moderate
2018-11-02T21:00Z,269,293,moderate
2018-11-02T21:30Z,266,269,moderate
2018-11-02T22:00Z,265,266,moderate
2018-11-02T22:30Z,260,260,moderate
2018-11-02T23:00Z,223,263,moderate
2018-11-02T23:30Z,190,253,moderate
2018-11-03T00:00Z,187,204,moderate
2018-11-03T00:30Z,177,181,low
2018-11-03T01:00Z,169,172,low
2018-11-03T01:30Z,163,175,low
2018-11-03T02:00Z,155,169,low
2018-11-03T02:30Z,163,160,low
2018-11-03T03:00Z,168,155,low
2018-11-03T03:30Z,164,160,low
2018-11-03T04:00Z,157,168,low
2018-11-03T04:30Z,155,159,low
2018-11-03T05:00Z,154,154,low
2018-11-03T05:30Z,153,153,low
2018-11-03T06:00Z,160,152,low
2018-11-03T06:30Z,162,154,low
2018-11-03T07:00Z,172,165,low
2018-11-03T07:30Z,187,165,moderate
2018-11-03T08:00Z,182,181,moderate
2018-11-03T08:30Z,173,184,low
2018-11-03T09:00Z,171,171,low
2018-11-03T09:30Z,169,177,low
2018-11-03T10:00Z,161,174,low
2018-11-03T10:30Z,156,171,low
2018-11-03T11:00Z,155,155,low
2018-11-03T11:30Z,151,151,low
2018-11-03T12:00Z,146,150,low
2018-11-03T12:30Z,141,149,low
2018-11-03T13:00Z,147,141,low
2018-11-03T13:30Z,152,141,low
2018-11-03T14:00Z,157,151,low
2018-11-03T14:30Z,165,155,low
2018-11-03T15:00Z,170,162,low
2018-11-03T15:30Z,175,170,low
2018-11-03T16:00Z,186,173,moderate
2018-11-03T16:30Z,201,179,moderate
2018-11-03T17:00Z,210,194,moderate
2018-11-03T17:30Z,205,209,moderate
2018-11-03T18:00Z,197,218,moderate
2018-11-03T18:30Z,192,215,moderate
2018-11-03T19:00Z,188,200,moderate
2018-11-03T19:30Z,187,184,moderate
2018-11-03T20:00Z,173,186,low
2018-11-03T20:30Z,164,180,low
2018-11-03T21:00Z,170,169,low
2018-11-03T21:30Z,171,160,low
2018-11-03T22:00Z,167,175,low
2018-11-03T22:30Z,161,173,low
2018-11-03T23:00Z,142,163,low
2018-11-03T23:30Z,127,157,low
2018-11-04T00:00Z,123,129,low
2018-11-04T00:30Z,116,120,low
2018-11-04T01:00Z,124,109,low
2018-11-04T01:30Z,126,120,low
2018-11-04T02:00Z,128,133,low
2018-11-04T02:30Z,125,130,low
2018-11-04T03:00Z,130,133,low
2018-11-04T03:30Z,135,126,low
2018-11-04T04:00Z,133,137,low
2018-11-04T04:30Z,137,140,low
2018-11-04T05:00Z,139,136,low
2018-11-04T05:30Z,141,139,low
2018-11-04T06:00Z,147,141,low
2018-11-04T06:30Z,155,142,low
2018-11-04T07:00Z,163,152,low
2018-11-04T07:30Z,174,162,low
2018-11-04T08:00Z,187,171,moderate
2018-11-04T08:30Z,194,181,moderate
2018-11-04T09:00Z,195,187,moderate
2018-11-04T09:30Z,197,196,moderate
2018-11-04T10:00Z,199,202,moderate
2018-11-04T10:30Z,203,197,moderate
2018-11-04T11:00Z,213,199,moderate
2018-11-04T11:30Z,226,200,moderate
2018-11-04T12:00Z,237,215,moderate
2018-11-04T12:30Z,247,232,moderate
2018-11-04T13:00Z,256,240,moderate
2018-11-04T13:30Z,269,248,moderate
2018-11-04T14:00Z,284,261,high
2018-11-04T14:30Z,302,276,high
2018-11-04T15:00Z,312,296,high
2018-11-04T15:30Z,317,312,high
2018-11-04T16:00Z,325,313,high
2018-11-04T16:30Z,335,322,high
2018-11-04T17:00Z,333,337,high
2018-11-04T17:30Z,328,342,high
2018-11-04T18:00Z,323,337,high
2018-11-04T18:30Z,323,333,high
2018-11-04T19:00Z,322,321,high
2018-11-04T19:30Z,314,317,high
2018-11-04T20:00Z,310,317,high
2018-11-04T20:30Z,297,316,high
2018-11-04T21:00Z,276,303,moderate
2018-11-04T21:30Z,260,284,moderate
2018-11-04T22:00Z,243,264,moderate
2018-11-04T22:30Z,229,253,moderate
2018-11-04T23:00Z,217,237,moderate
2018-11-04T23:30Z,211,225,moderate
2018-11-05T00:00Z,214,211,moderate
2018-11-05T00:30Z,228,209,moderate
2018-11-05T01:00Z,242,212,moderate
2018-11-05T01:30Z,239,238,moderate
2018-11-05T02:00Z,235,250,moderate
2018-11-05T02:30Z,234,246,moderate
2018-11-05T03:00Z,233,239,moderate
2018-11-05T03:30Z,231,233,moderate
2018-11-05T04:00Z,223,235,moderate
2018-11-05T04:30Z,224,230,moderate
2018-11-05T05:00Z,232,221,moderate
2018-11-05T05:30Z,249,225,moderate
2018-11-05T06:00Z,279,237,moderate
2018-11-05T06:30Z,304,260,high
2018-11-05T07:00Z,325,306,high
2018-11-05T07:30Z,339,322,high
2018-11-05T08:00Z,337,344,high
2018-11-05T08:30Z,339,347,high
2018-11-05T09:00Z,340,344,high
2018-11-05T09:30Z,338,333,high
2018-11-05T10:00Z,336,333,high
2018-11-05T10:30Z,336,330,high
2018-11-05T11:00Z,336,331,high
2018-11-05T11:30Z,336,335,high
2018-11-05T12:00Z,333,334,high
2018-11-05T12:30Z,327,336,high
2018-11-05T13:00Z,331,329,high
2018-11-05T13:30Z,336,326,high
2018-11-05T14:00Z,341,331,high
2018-11-05T14:30Z,345,340,high
2018-11-05T15:00Z,351,344,high
2018-11-05T15:30Z,355,349,high
2018-11-05T16:00Z,344,356,high
2018-11-05T16:30Z,339,358,high
2018-11-05T17:00Z,339,338,high
2018-11-05T17:30Z,335,339,high
2018-11-05T18:00Z,329,342,high
2018-11-05T18:30Z,322,331,high
2018-11-05T19:00Z,322,319,high
2018-11-05T19:30Z,318,313,high
2018-11-05T20:00Z,308,324,high
2018-11-05T20:30Z,294,321,high
2018-11-05T21:00Z,279,308,moderate
2018-11-05T21:30Z,264,290,moderate
2018-11-05T22:00Z,245,272,moderate
2018-11-05T22:30Z,227,259,moderate
2018-11-05T23:00Z,213,235,moderate
2018-11-05T23:30Z,199,219,moderate
2018-11-06T00:00Z,198,208,moderate
2018-11-06T00:30Z,199,197,moderate
2018-11-06T01:00Z,200,191,moderate
2018-11-06T01:30Z,196,205,moderate
2018-11-06T02:00Z,206,206,moderate
2018-11-06T02:30Z,206,203,moderate
2018-11-06T03:00Z,205,208,moderate
2018-11-06T03:30Z,205,207,moderate
2018-11-06T04:00Z,196,208,moderate
2018-11-06T04:30Z,189,202,moderate
2018-11-06T05:00Z,187,194,moderate
2018-11-06T05:30Z,198,187,moderate
2018-11-06T06:00Z,222,187,moderate
2018-11-06T06:30Z,238,208,moderate
2018-11-06T07:00Z,261,232,moderate
2018-11-06T07:30Z,275,252,moderate
2018-11-06T08:00Z,267,280,moderate
2018-11-06T08:30Z,257,281,moderate
2018-11-06T09:00Z,256,267,moderate
2018-11-06T09:30Z,257,242,moderate
2018-11-06T10:00Z,254,248,moderate
2018-11-06T10:30Z,250,254,moderate
2018-11-06T11:00Z,250,253,moderate
2018-11-06T11:30Z,250,247,moderate
2018-11-06T12:00Z,249,247,moderate
2018-11-06T12:30Z,252,247,moderate
2018-11-06T13:00Z,252,250,moderate
2018-11-06T13:30Z,250,251,moderate
2018-11-06T14:00Z,246,249,moderate
2018-11-06T14:30Z,243,245,moderate
2018-11-06T15:00Z,240,244,moderate
2018-11-06T15:30Z,241,243,moderate
2018-11-06T16:00Z,239,238,moderate
2018-11-06T16:30Z,238,243,moderate
2018-11-06T17:00Z,243,235,moderate
2018-11-06T17:30Z,241,237,moderate
2018-11-06T18:00Z,243,246,moderate
2018-11-06T18:30Z,243,249,moderate
2018-11-06T19:00Z,241,247,moderate
2018-11-06T19:30Z,229,236,moderate
2018-11-06T20:00Z,214,230,moderate
2018-11-06T20:30Z,198,218,moderate
2018-11-06T21:00Z,183,202,moderate
2018-11-06T21:30Z,161,189,low
2018-11-06T22:00Z,136,174,low
2018-11-06T22:30Z,119,150,low
2018-11-06T23:00Z,113,127,low
2018-11-06T23:30Z,108,114,low
2018-11-07T00:00Z,110,110,low
2018-11-07T00:30Z,125,107,low
2018-11-07T01:00Z,135,109,low
2018-11-07T01:30Z,137,133,low
2018-11-07T02:00Z,136,144,low
2018-11-07T02:30Z,135,141,low
2018-11-07T03:00Z,128,135,low
2018-11-07T03:30Z,118,129,low
2018-11-07T04:00Z,111,126,low
2018-11-07T04:30Z,110,114,low
2018-11-07T05:00Z,114,110,low
2018-11-07T05:30Z,131,116,low
2018-11-07T06:00Z,155,118,low
2018-11-07T06:30Z,169,144,low
2018-11-07T07:00Z,193,162,moderate
2018-11-07T07:30Z,204,182,moderate
2018-11-07T08:00Z,207,206,moderate
2018-11-07T08:30Z,208,217,moderate
2018-11-07T09:00Z,205,215,moderate
2018-11-07T09:30Z,205,205,moderate
2018-11-07T10:00Z,203,199,moderate
2018-11-07T10:30Z,208,201,moderate
2018-11-07T11:00Z,207,200,moderate
2018-11-07T11:30Z,208,206,moderate
2018-11-07T12:00Z,203,204,moderate
2018-11-07T12:30Z,208,206,moderate
2018-11-07T13:00Z,212,200,moderate
2018-11-07T13:30Z,213,207,moderate
2018-11-07T14:00Z,213,210,moderate
2018-11-07T14:30Z,223,212,moderate
2018-11-07T15:00Z,238,215,moderate
2018-11-07T15:30Z,259,227,moderate
2018-11-07T16:00Z,275,249,moderate
2018-11-07T16:30Z,284,273,high
2018-11-07T17:00Z,289,283,high
2018-11-07T17:30Z,292,292,high
2018-11-07T18:00Z,293,300,high
2018-11-07T18:30Z,289,305,high
2018-11-07T19:00Z,289,297,high
2018-11-07T19:30Z,286,287,high
2018-11-07T20:00Z,284,284,high
2018-11-07T20:30Z,280,284,high
2018-11-07T21:00Z,272,282,moderate
2018-11-07T21:30Z,262,271,moderate
2018-11-07T22:00Z,252,262,moderate
2018-11-07T22:30Z,226,256,moderate
2018-11-07T23:00Z,207,246,moderate
2018-11-07T23:30Z,199,214,moderate
2018-11-08T00:00Z,201,201,moderate
2018-11-08T00:30Z,215,199,moderate
2018-11-08T01:00Z,223,198,moderate
2018-11-08T01:30Z,211,227,moderate
2018-11-08T02:00Z,204,234,moderate
2018-11-08T02:30Z,198,211,moderate
2018-11-08T03:00Z,195,202,moderate
2018-11-08T03:30Z,182,194,moderate
2018-11-08T04:00Z,179,188,low
2018-11-08T04:30Z,178,179,low
2018-11-08T05:00Z,185,179,moderate
2018-11-08T05:30Z,203,175,moderate
2018-11-08T06:00Z,219,189,moderate
2018-11-08T06:30Z,237,212,moderate
2018-11-08T07:00Z,256,230,moderate
2018-11-08T07:30Z,255,254,moderate
2018-11-08T08:00Z,248,265,moderate
2018-11-08T08:30Z,244,252,moderate
2018-11-08T09:00Z,246,245,moderate
2018-11-08T09:30Z,246,233,moderate
2018-11-08T10:00Z,248,247,moderate
2018-11-08T10:30Z,243,245,moderate
2018-11-08T11:00Z,243,253,moderate
2018-11-08T11:30Z,246,242,moderate
2018-11-08T12:00Z,247,246,moderate
2018-11-08T12:30Z,251,249,moderate
2018-11-08T13:00Z,253,247,moderate
2018-11-08T13:30Z,261,252,moderate
2018-11-08T14:00Z,263,260,moderate
2018-11-08T14:30Z,267,264,moderate
2018-11-08T15:00Z,270,267,moderate
2018-11-08T15:30Z,277,268,moderate
2018-11-08T16:00Z,282,276,high
2018-11-08T16:30Z,286,283,high
2018-11-08T17:00Z,285,283,high
2018-11-08T17:30Z,282,291,high
2018-11-08T18:00Z,278,288,moderate
2018-11-08T18:30Z,268,284,moderate
2018-11-08T19:00Z,259,273,moderate
2018-11-08T19:30Z,244,259,moderate
2018-11-08T20:00Z,228,246,moderate
2018-11-08T20:30Z,209,234,moderate
2018-11-08T21:00Z,184,221,moderate
2018-11-08T21:30Z,166,200,low
2018-11-08T22:00Z,149,173,low
2018-11-08T22:30Z,134,156,low
2018-11-08T23:00Z,124,140,low
2018-11-08T23:30Z,116,127,low
2018-11-09T00:00Z,115,119,low
2018-11-09T00:30Z,118,112,low
2018-11-09T01:00Z,121,118,low
2018-11-09T01:30Z,116,121,low
2018-11-09T02:00Z,115,122,low
2018-11-09T02:30Z,119,118,low
2018-11-09T03:00Z,120,121,low
2018-11-09T03:30Z,121,119,low
2018-11-09T04:00Z,121,123,low
2018-11-09T04:30Z,126,119,low
2018-11-09T05:00Z,131,126,low
2018-11-09T05:30Z,144,128,low
2018-11-09T06:00Z,161,137,low
2018-11-09T06:30Z,183,152,moderate
2018-11-09T07:00Z,206,169,moderate
2018-11-09T07:30Z,223,197,moderate
2018-11-09T08:00Z,229,232,moderate
2018-11-09T08:30Z,229,232,moderate
2018-11-09T09:00Z,225,241,moderate
2018-11-09T09:30Z,221,231,moderate
2018-11-09T10:00Z,216,218,moderate
2018-11-09T10:30Z,213,220,moderate
2018-11-09T11:00Z,211,214,moderate
2018-11-09T11:30Z,208,211,moderate
