Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2019-05-01T00:00Z,263,255,high
2019-05-01T00:30Z,266,271,high
2019-05-01T01:00Z,265,271,high
2019-05-01T01:30Z,262,273,high
2019-05-01T02:00Z,263,270,high
2019-05-01T02:30Z,263,268,high
2019-05-01T03:00Z,264,263,high
2019-05-01T03:30Z,265,262,high
2019-05-01T04:00Z,266,265,high
2019-05-01T04:30Z,269,269,high
2019-05-01T05:00Z,271,270,high
2019-05-01T05:30Z,281,270,high
2019-05-01T06:00Z,293,270,high
2019-05-01T06:30Z,291,269,high
2019-05-01T07:00Z,284,271,high
2019-05-01T07:30Z,282,275,high
2019-05-01T08:00Z,278,282,high
2019-05-01T08:30Z,274,273,high
2019-05-01T09:00Z,272,267,high
2019-05-01T09:30Z,271,267,high
2019-05-01T10:00Z,269,271,high
2019-05-01T10:30Z,268,270,high
2019-05-01T11:00Z,269,266,high
2019-05-01T11:30Z,269,268,high
2019-05-01T12:00Z,267,272,high
2019-05-01T12:30Z,263,273,high
2019-05-01T13:00Z,263,268,high
2019-05-01T13:30Z,265,263,high
2019-05-01T14:00Z,268,263,high
2019-05-01T14:30Z,271,267,high
2019-05-01T15:00Z,275,271,high
2019-05-01T15:30Z,276,275,high
2019-05-01T16:00Z,277,279,high
2019-05-01T16:30Z,277,279,high
2019-05-01T17:00Z,276,279,high
2019-05-01T17:30Z,277,278,high
2019-05-01T18:00Z,280,278,high
2019-05-01T18:30Z,285,276,high
2019-05-01T19:00Z,287,282,high
2019-05-01T19:30Z,284,288,high
2019-05-01T20:00Z,285,288,high
2019-05-01T20:30Z,280,283,high
2019-05-01T21:00Z,270,286,high
2019-05-01T21:30Z,257,282,moderate
2019-05-01T22:00Z,243,269,moderate
2019-05-01T22:30Z,228,253,moderate
2019-05-01T23:00Z,225,239,moderate
2019-05-01T23:30Z,227,225,moderate
2019-05-02T00:00Z,227,222,moderate
2019-05-02T00:30Z,229,229,moderate
2019-05-02T01:00Z,230,236,moderate
2019-05-02T01:30Z,224,234,moderate
2019-05-02T02:00Z,218,233,moderate
2019-05-02T02:30Z,215,224,moderate
2019-05-02T03:00Z,211,216,moderate
2019-05-02T03:30Z,211,212,moderate
2019-05-02T04:00Z,210,209,moderate
2019-05-02T04:30Z,210,211,moderate
2019-05-02T05:00Z,224,207,moderate
2019-05-02T05:30Z,236,214,moderate
2019-05-02T06:00Z,244,227,moderate
2019-05-02T06:30Z,248,242,moderate
2019-05-02T07:00Z,244,255,moderate
2019-05-02T07:30Z,240,252,moderate
2019-05-02T08:00Z,234,238,moderate
2019-05-02T08:30Z,224,229,moderate
