Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2019-06-01T00:00Z,135,126,low
2019-06-01T00:30Z,136,129,low
2019-06-01T01:00Z,142,139,low
2019-06-01T01:30Z,147,143,low
2019-06-01T02:00Z,147,151,low
2019-06-01T02:30Z,148,152,low
2019-06-01T03:00Z,150,154,low
2019-06-01T03:30Z,151,150,low
2019-06-01T04:00Z,157,152,low
2019-06-01T04:30Z,168,155,moderate
2019-06-01T05:00Z,175,163,moderate
2019-06-01T05:30Z,183,175,moderate
2019-06-01T06:00Z,190,183,moderate
2019-06-01T06:30Z,198,191,moderate
2019-06-01T07:00Z,199,203,moderate
2019-06-01T07:30Z,195,207,moderate
2019-06-01T08:00Z,192,200,moderate
2019-06-01T08:30Z,186,196,moderate
2019-06-01T09:00Z,185,187,moderate
2019-06-01T09:30Z,182,181,moderate
2019-06-01T10:00Z,178,180,moderate
2019-06-01T10:30Z,175,178,moderate
2019-06-01T11:00Z,176,175,moderate
2019-06-01T11:30Z,176,175,moderate
2019-06-01T12:00Z,172,177,moderate
2019-06-01T12:30Z,168,176,moderate
2019-06-01T13:00Z,171,173,moderate
2019-06-01T13:30Z,173,168,moderate
2019-06-01T14:00Z,172,170,moderate
2019-06-01T14:30Z,178,172,moderate
2019-06-01T15:00Z,183,174,moderate
2019-06-01T15:30Z,190,180,moderate
2019-06-01T16:00Z,198,190,moderate
2019-06-01T16:30Z,203,197,moderate
2019-06-01T17:00Z,204,203,moderate
2019-06-01T17:30Z,205,206,moderate
2019-06-01T18:00Z,213,207,moderate
2019-06-01T18:30Z,223,207,moderate
2019-06-01T19:00Z,229,216,moderate
2019-06-01T19:30Z,234,226,moderate
2019-06-01T20:00Z,236,233,moderate
2019-06-01T20:30Z,237,237,moderate
2019-06-01T21:00Z,235,238,moderate
2019-06-01T21:30Z,226,240,moderate
2019-06-01T22:00Z,205,238,moderate
2019-06-01T22:30Z,172,222,moderate
2019-06-01T23:00Z,156,195,low
2019-06-01T23:30Z,148,161,low
2019-06-02T00:00Z,138,157,low
2019-06-02T00:30Z,131,142,low
2019-06-02T01:00Z,127,135,low
2019-06-02T01:30Z,124,131,low
2019-06-02T02:00Z,125,127,low
2019-06-02T02:30Z,124,127,low
2019-06-02T03:00Z,127,131,low
2019-06-02T03:30Z,131,124,low
2019-06-02T04:00Z,141,132,low
2019-06-02T04:30Z,149,137,low
2019-06-02T05:00Z,149,147,low
2019-06-02T05:30Z,148,153,low
2019-06-02T06:00Z,134,152,low
2019-06-02T06:30Z,133,147,low
2019-06-02T07:00Z,131,130,low
2019-06-02T07:30Z,126,131,low
2019-06-02T08:00Z,120,130,low
2019-06-02T08:30Z,117,121,low
2019-06-02T09:00Z,115,115,low
2019-06-02T09:30Z,112,111,low
2019-06-02T10:00Z,109,110,low
2019-06-02T10:30Z,102,111,low
2019-06-02T11:00Z,103,104,low
2019-06-02T11:30Z,103,102,low
2019-06-02T12:00Z,105,104,low
2019-06-02T12:30Z,100,107,low
2019-06-02T13:00Z,99,104,low
2019-06-02T13:30Z,96,100,low
2019-06-02T14:00Z,99,100,low
2019-06-02T14:30Z,104,98,low
2019-06-02T15:00Z,107,101,low
2019-06-02T15:30Z,111,107,low
2019-06-02T16:00Z,113,110,low
2019-06-02T16:30Z,116,114,low
2019-06-02T17:00Z,118,115,low
2019-06-02T17:30Z,121,116,low
2019-06-02T18:00Z,128,115,low
2019-06-02T18:30Z,130,119,low
2019-06-02T19:00Z,132,129,low
2019-06-02T19:30Z,132,132,low
2019-06-02T20:00Z,139,130,low
2019-06-02T20:30Z,139,133,low
2019-06-02T21:00Z,136,138,low
2019-06-02T21:30Z,125,141,low
2019-06-02T22:00Z,128,134,low
2019-06-02T22:30Z,128,122,low
2019-06-02T23:00Z,129,133,low
2019-06-02T23:30Z,138,130,low
2019-06-03T00:00Z,152,133,low
2019-06-03T00:30Z,161,149,moderate
2019-06-03T01:00Z,162,166,moderate
2019-06-03T01:30Z,160,171,moderate
2019-06-03T02:00Z,162,164,moderate
2019-06-03T02:30Z,166,162,moderate
2019-06-03T03:00Z,168,171,moderate
2019-06-03T03:30Z,169,169,moderate
2019-06-03T04:00Z,165,168,moderate
2019-06-03T04:30Z,164,167,moderate
2019-06-03T05:00Z,163,160,moderate
2019-06-03T05:30Z,166,162,moderate
2019-06-03T06:00Z,171,160,moderate
2019-06-03T06:30Z,171,168,moderate
2019-06-03T07:00Z,165,168,moderate
2019-06-03T07:30Z,160,162,moderate
2019-06-03T08:00Z,157,153,low
2019-06-03T08:30Z,155,152,low
2019-06-03T09:00Z,151,148,low
2019-06-03T09:30Z,145,147,low
2019-06-03T10:00Z,141,142,low
2019-06-03T10:30Z,137,138,low
2019-06-03T11:00Z,137,133,low
2019-06-03T11:30Z,134,134,low
2019-06-03T12:00Z,141,135,low
2019-06-03T12:30Z,145,135,low
2019-06-03T13:00Z,146,150,low
2019-06-03T13:30Z,150,151,low
2019-06-03T14:00Z,155,152,low
2019-06-03T14:30Z,158,157,low
2019-06-03T15:00Z,155,159,low
2019-06-03T15:30Z,159,161,low
2019-06-03T16:00Z,169,152,moderate
2019-06-03T16:30Z,173,161,moderate
2019-06-03T17:00Z,176,173,moderate
2019-06-03T17:30Z,178,175,moderate
2019-06-03T18:00Z,180,178,moderate
2019-06-03T18:30Z,183,179,moderate
2019-06-03T19:00Z,189,179,moderate
2019-06-03T19:30Z,192,186,moderate
2019-06-03T20:00Z,196,195,moderate
2019-06-03T20:30Z,201,198,moderate
2019-06-03T21:00Z,207,203,moderate
2019-06-03T21:30Z,212,207,moderate
2019-06-03T22:00Z,213,215,moderate
2019-06-03T22:30Z,212,220,moderate
2019-06-03T23:00Z,214,219,moderate
2019-06-03T23:30Z,221,221,moderate
2019-06-04T00:00Z,221,206,moderate
2019-06-04T00:30Z,225,222,moderate
2019-06-04T01:00Z,227,226,moderate
2019-06-04T01:30Z,233,230,moderate
2019-06-04T02:00Z,234,235,moderate
2019-06-04T02:30Z,236,243,moderate
2019-06-04T03:00Z,235,241,moderate
2019-06-04T03:30Z,237,239,moderate
2019-06-04T04:00Z,245,235,moderate
2019-06-04T04:30Z,248,239,moderate
2019-06-04T05:00Z,258,250,moderate
2019-06-04T05:30Z,271,255,high
2019-06-04T06:00Z,281,267,high
2019-06-04T06:30Z,277,282,high
2019-06-04T07:00Z,272,287,high
2019-06-04T07:30Z,275,278,high
2019-06-04T08:00Z,272,267,high
2019-06-04T08:30Z,267,262,high
2019-06-04T09:00Z,263,259,high
2019-06-04T09:30Z,260,257,high
