Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2020-04-01T00:00Z,238,233,high
2020-04-01T00:30Z,240,240,high
2020-04-01T01:00Z,243,241,high
2020-04-01T01:30Z,246,246,high
2020-04-01T02:00Z,246,248,high
2020-04-01T02:30Z,247,252,high
2020-04-01T03:00Z,242,245,high
2020-04-01T03:30Z,235,239,high
2020-04-01T04:00Z,229,237,moderate
2020-04-01T04:30Z,226,232,moderate
2020-04-01T05:00Z,227,225,moderate
2020-04-01T05:30Z,230,223,high
2020-04-01T06:00Z,235,228,high
2020-04-01T06:30Z,239,237,high
2020-04-01T07:00Z,237,246,high
2020-04-01T07:30Z,237,243,high
2020-04-01T08:00Z,232,233,high
2020-04-01T08:30Z,229,234,moderate
2020-04-01T09:00Z,228,227,moderate
2020-04-01T09:30Z,227,223,moderate
2020-04-01T10:00Z,224,224,moderate
2020-04-01T10:30Z,222,227,moderate
2020-04-01T11:00Z,221,223,moderate
2020-04-01T11:30Z,221,215,moderate
2020-04-01T12:00Z,218,216,moderate
2020-04-01T12:30Z,216,217,moderate
2020-04-01T13:00Z,216,210,moderate
2020-04-01T13:30Z,218,207,moderate
2020-04-01T14:00Z,220,207,moderate
2020-04-01T14:30Z,221,211,moderate
2020-04-01T15:00Z,224,216,moderate
2020-04-01T15:30Z,233,218,high
2020-04-01T16:00Z,243,228,high
2020-04-01T16:30Z,251,237,high
2020-04-01T17:00Z,253,246,high
2020-04-01T17:30Z,252,252,high
2020-04-01T18:00Z,250,249,high
2020-04-01T18:30Z,250,252,high
2020-04-01T19:00Z,253,247,high
2020-04-01T19:30Z,247,249,high
2020-04-01T20:00Z,246,252,high
2020-04-01T20:30Z,241,250,high
2020-04-01T21:00Z,231,245,high
2020-04-01T21:30Z,219,235,moderate
2020-04-01T22:00Z,204,224,moderate
2020-04-01T22:30Z,188,212,moderate
2020-04-01T23:00Z,181,198,moderate
2020-04-01T23:30Z,182,181,moderate
2020-04-02T00:00Z,185,175,moderate
2020-04-02T00:30Z,204,178,moderate
2020-04-02T01:00Z,208,194,moderate
2020-04-02T01:30Z,205,215,moderate
2020-04-02T02:00Z,202,209,moderate
2020-04-02T02:30Z,195,204,moderate
2020-04-02T03:00Z,185,194,moderate
2020-04-02T03:30Z,185,178,moderate
2020-04-02T04:00Z,181,183,moderate
2020-04-02T04:30Z,176,185,moderate
2020-04-02T05:00Z,170,178,moderate
2020-04-02T05:30Z,172,172,moderate
2020-04-02T06:00Z,176,171,moderate
2020-04-02T06:30Z,181,173,moderate
2020-04-02T07:00Z,181,171,moderate
2020-04-02T07:30Z,171,180,moderate
2020-04-02T08:00Z,163,177,moderate
2020-04-02T08:30Z,154,165,moderate
