Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2019-12-01T00:00Z,228,233,moderate
2019-12-01T00:30Z,229,232,moderate
2019-12-01T01:00Z,230,226,moderate
2019-12-01T01:30Z,224,237,moderate
2019-12-01T02:00Z,225,233,moderate
2019-12-01T02:30Z,226,227,moderate
2019-12-01T03:00Z,227,225,moderate
2019-12-01T03:30Z,224,225,moderate
2019-12-01T04:00Z,220,226,moderate
2019-12-01T04:30Z,216,222,moderate
2019-12-01T05:00Z,217,220,moderate
2019-12-01T05:30Z,217,213,moderate
2019-12-01T06:00Z,212,218,moderate
2019-12-01T06:30Z,211,216,moderate
2019-12-01T07:00Z,216,212,moderate
2019-12-01T07:30Z,226,212,moderate
2019-12-01T08:00Z,228,220,moderate
2019-12-01T08:30Z,231,231,moderate
2019-12-01T09:00Z,232,231,moderate
2019-12-01T09:30Z,234,233,moderate
2019-12-01T10:00Z,234,231,moderate
2019-12-01T10:30Z,237,232,moderate
2019-12-01T11:00Z,236,232,moderate
2019-12-01T11:30Z,232,234,moderate
2019-12-01T12:00Z,229,232,moderate
2019-12-01T12:30Z,226,230,moderate
2019-12-01T13:00Z,226,229,moderate
2019-12-01T13:30Z,230,228,moderate
2019-12-01T14:00Z,235,230,moderate
2019-12-01T14:30Z,243,232,moderate
2019-12-01T15:00Z,246,240,moderate
2019-12-01T15:30Z,255,243,moderate
2019-12-01T16:00Z,256,248,moderate
2019-12-01T16:30Z,253,258,moderate
2019-12-01T17:00Z,250,256,moderate
2019-12-01T17:30Z,250,255,moderate
2019-12-01T18:00Z,249,253,moderate
2019-12-01T18:30Z,252,248,moderate
2019-12-01T19:00Z,251,243,moderate
2019-12-01T19:30Z,248,248,moderate
2019-12-01T20:00Z,246,249,moderate
2019-12-01T20:30Z,245,248,moderate
2019-12-01T21:00Z,242,248,moderate
2019-12-01T21:30Z,239,245,moderate
2019-12-01T22:00Z,235,244,moderate
2019-12-01T22:30Z,231,236,moderate
2019-12-01T23:00Z,211,236,moderate
2019-12-01T23:30Z,190,231,moderate
2019-12-02T00:00Z,189,205,moderate
2019-12-02T00:30Z,189,188,moderate
2019-12-02T01:00Z,192,187,moderate
2019-12-02T01:30Z,191,193,moderate
2019-12-02T02:00Z,191,205,moderate
2019-12-02T02:30Z,191,197,moderate
2019-12-02T03:00Z,192,191,moderate
2019-12-02T03:30Z,194,190,moderate
2019-12-02T04:00Z,197,193,moderate
2019-12-02T04:30Z,202,198,moderate
2019-12-02T05:00Z,211,201,moderate
2019-12-02T05:30Z,227,205,moderate
2019-12-02T06:00Z,245,222,moderate
2019-12-02T06:30Z,266,237,high
2019-12-02T07:00Z,291,257,high
2019-12-02T07:30Z,305,286,high
2019-12-02T08:00Z,309,314,high
2019-12-02T08:30Z,314,319,high
2019-12-02T09:00Z,310,315,high
2019-12-02T09:30Z,301,305,high
2019-12-02T10:00Z,296,314,high
2019-12-02T10:30Z,299,292,high
2019-12-02T11:00Z,298,295,high
2019-12-02T11:30Z,292,299,high
2019-12-02T12:00Z,292,299,high
2019-12-02T12:30Z,297,296,high
2019-12-02T13:00Z,299,297,high
2019-12-02T13:30Z,298,303,high
2019-12-02T14:00Z,298,303,high
2019-12-02T14:30Z,300,304,high
2019-12-02T15:00Z,302,300,high
2019-12-02T15:30Z,301,301,high
2019-12-02T16:00Z,295,304,high
2019-12-02T16:30Z,292,300,high
2019-12-02T17:00Z,293,293,high
2019-12-02T17:30Z,297,292,high
2019-12-02T18:00Z,297,293,high
2019-12-02T18:30Z,293,297,high
2019-12-02T19:00Z,287,296,high
2019-12-02T19:30Z,278,291,high
2019-12-02T20:00Z,273,286,high
2019-12-02T20:30Z,272,275,high
2019-12-02T21:00Z,264,272,high
2019-12-02T21:30Z,249,271,moderate
2019-12-02T22:00Z,245,259,moderate
2019-12-02T22:30Z,243,245,moderate
2019-12-02T23:00Z,223,247,moderate
2019-12-02T23:30Z,208,240,moderate
2019-12-03T00:00Z,203,217,moderate
2019-12-03T00:30Z,189,207,moderate
2019-12-03T01:00Z,193,184,moderate
2019-12-03T01:30Z,193,192,moderate
2019-12-03T02:00Z,193,200,moderate
2019-12-03T02:30Z,193,197,moderate
2019-12-03T03:00Z,197,193,moderate
2019-12-03T03:30Z,196,189,moderate
2019-12-03T04:00Z,197,199,moderate
2019-12-03T04:30Z,202,198,moderate
2019-12-03T05:00Z,209,203,moderate
2019-12-03T05:30Z,235,204,moderate
2019-12-03T06:00Z,273,221,high
2019-12-03T06:30Z,308,251,high
2019-12-03T07:00Z,311,304,high
2019-12-03T07:30Z,305,333,high
2019-12-03T08:00Z,299,319,high
2019-12-03T08:30Z,294,305,high
2019-12-03T09:00Z,290,300,high
2019-12-03T09:30Z,289,284,high
2019-12-03T10:00Z,285,282,high
2019-12-03T10:30Z,284,281,high
2019-12-03T11:00Z,282,283,high
2019-12-03T11:30Z,275,281,high
