Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2023-01-01T00:00Z,65,75,low
2023-01-01T00:30Z,72,73,low
2023-01-01T01:00Z,80,63,low
2023-01-01T01:30Z,72,71,low
2023-01-01T02:00Z,65,76,low
2023-01-01T02:30Z,65,72,low
2023-01-01T03:00Z,65,66,low
2023-01-01T03:30Z,67,67,low
2023-01-01T04:00Z,68,67,low
2023-01-01T04:30Z,71,67,low
2023-01-01T05:00Z,73,65,low
2023-01-01T05:30Z,72,73,low
2023-01-01T06:00Z,73,74,low
2023-01-01T06:30Z,73,76,low
2023-01-01T07:00Z,72,75,low
2023-01-01T07:30Z,75,78,low
2023-01-01T08:00Z,74,73,low
2023-01-01T08:30Z,73,76,low
2023-01-01T09:00Z,82,75,low
2023-01-01T09:30Z,78,69,low
2023-01-01T10:00Z,78,82,low
2023-01-01T10:30Z,84,80,low
2023-01-01T11:00Z,86,77,low
2023-01-01T11:30Z,87,89,low
2023-01-01T12:00Z,92,84,low
2023-01-01T12:30Z,90,90,low
2023-01-01T13:00Z,93,90,low
2023-01-01T13:30Z,93,88,low
2023-01-01T14:00Z,94,90,low
2023-01-01T14:30Z,103,92,low
2023-01-01T15:00Z,114,97,low
2023-01-01T15:30Z,129,107,moderate
2023-01-01T16:00Z,145,122,moderate
2023-01-01T16:30Z,150,136,moderate
2023-01-01T17:00Z,155,174,moderate
2023-01-01T17:30Z,162,160,moderate
2023-01-01T18:00Z,160,160,moderate
2023-01-01T18:30Z,160,157,moderate
2023-01-01T19:00Z,158,163,moderate
2023-01-01T19:30Z,160,159,moderate
2023-01-01T20:00Z,164,146,moderate
2023-01-01T20:30Z,162,158,moderate
2023-01-01T21:00Z,164,161,moderate
2023-01-01T21:30Z,162,168,moderate
2023-01-01T22:00Z,156,179,moderate
2023-01-01T22:30Z,153,188,moderate
2023-01-01T23:00Z,150,155,moderate
2023-01-01T23:30Z,153,152,moderate
2023-01-02T00:00Z,152,156,moderate
2023-01-02T00:30Z,145,156,moderate
