from,intensity.forecast,intensity.actual
2023-03-24T06:00Z,86,65
2023-03-24T06:30Z,82,68
2023-03-24T07:00Z,75,65
2023-03-24T07:30Z,71,62
2023-03-24T08:00Z,67,60
2023-03-24T08:30Z,63,55
2023-03-24T09:00Z,62,50
2023-03-24T09:30Z,60,48
2023-03-24T10:00Z,58,47
2023-03-24T10:30Z,54,44
2023-03-24T11:00Z,52,45
2023-03-24T11:30Z,51,43
2023-03-24T12:00Z,49,46
2023-03-24T12:30Z,50,47
2023-03-24T13:00Z,51,48
2023-03-24T13:30Z,54,48
2023-03-24T14:00Z,56,48
2023-03-24T14:30Z,60,48
2023-03-24T15:00Z,63,50
2023-03-24T15:30Z,65,52
2023-03-24T16:00Z,70,59
2023-03-24T16:30Z,74,71
2023-03-24T17:00Z,80,83
2023-03-24T17:30Z,86,80
2023-03-24T18:00Z,88,79
2023-03-24T18:30Z,90,79
2023-03-24T19:00Z,88,75
2023-03-24T19:30Z,88,74
2023-03-24T20:00Z,85,71
2023-03-24T20:30Z,82,71
2023-03-24T21:00Z,79,68
2023-03-24T21:30Z,77,68
2023-03-24T22:00Z,81,60
2023-03-24T22:30Z,82,56
2023-03-24T23:00Z,79,53
2023-03-24T23:30Z,73,54
2023-03-25T00:00Z,73,57
2023-03-25T00:30Z,73,57
2023-03-25T01:00Z,71,57
2023-03-25T01:30Z,71,56
2023-03-25T02:00Z,71,58
2023-03-25T02:30Z,67,58
2023-03-25T03:00Z,68,58
2023-03-25T03:30Z,66,57
2023-03-25T04:00Z,67,58
2023-03-25T04:30Z,70,58
2023-03-25T05:00Z,70,58
2023-03-25T05:30Z,71,59
