from,intensity.forecast,intensity.actual
2023-03-18T04:00Z,175,159
2023-03-18T04:30Z,177,162
2023-03-18T05:00Z,179,163
2023-03-18T05:30Z,179,160
2023-03-18T06:00Z,185,160
2023-03-18T06:30Z,181,161
2023-03-18T07:00Z,182,172
2023-03-18T07:30Z,178,179
2023-03-18T08:00Z,191,186
2023-03-18T08:30Z,198,189
2023-03-18T09:00Z,199,184
2023-03-18T09:30Z,199,177
2023-03-18T10:00Z,188,171
2023-03-18T10:30Z,180,165
2023-03-18T11:00Z,179,158
2023-03-18T11:30Z,168,153
2023-03-18T12:00Z,163,152
2023-03-18T12:30Z,156,144
2023-03-18T13:00Z,157,142
2023-03-18T13:30Z,148,140
2023-03-18T14:00Z,145,133
2023-03-18T14:30Z,143,132
2023-03-18T15:00Z,134,139
2023-03-18T15:30Z,130,145
2023-03-18T16:00Z,143,162
2023-03-18T16:30Z,151,165
2023-03-18T17:00Z,168,169
2023-03-18T17:30Z,170,178
2023-03-18T18:00Z,177,183
2023-03-18T18:30Z,183,186
2023-03-18T19:00Z,183,188
2023-03-18T19:30Z,187,189
2023-03-18T20:00Z,192,180
2023-03-18T20:30Z,189,174
2023-03-18T21:00Z,182,158
2023-03-18T21:30Z,177,145
2023-03-18T22:00Z,159,133
2023-03-18T22:30Z,141,122
2023-03-18T23:00Z,134,102
2023-03-18T23:30Z,121,93
2023-03-19T00:00Z,103,89
2023-03-19T00:30Z,95,89
2023-03-19T01:00Z,92,82
2023-03-19T01:30Z,92,76
2023-03-19T02:00Z,79,81
2023-03-19T02:30Z,85,79
2023-03-19T03:00Z,85,80
2023-03-19T03:30Z,85,83
