from,intensity.forecast,intensity.actual
2023-03-15T01:00Z,178,
2023-03-15T01:30Z,182,
2023-03-15T02:00Z,190,
2023-03-15T02:30Z,198,
2023-03-15T03:00Z,207,
2023-03-15T03:30Z,218,
2023-03-15T04:00Z,227,
2023-03-15T04:30Z,234,
2023-03-15T05:00Z,244,
2023-03-15T05:30Z,259,
2023-03-15T06:00Z,269,
2023-03-15T06:30Z,274,
2023-03-15T07:00Z,272,
2023-03-15T07:30Z,270,
2023-03-15T08:00Z,268,
2023-03-15T08:30Z,267,
2023-03-15T09:00Z,259,
2023-03-15T09:30Z,255,
2023-03-15T10:00Z,253,
2023-03-15T10:30Z,250,
2023-03-15T11:00Z,244,
2023-03-15T11:30Z,242,
2023-03-15T12:00Z,239,
2023-03-15T12:30Z,237,
2023-03-15T13:00Z,233,
2023-03-15T13:30Z,230,
2023-03-15T14:00Z,226,
2023-03-15T14:30Z,222,
2023-03-15T15:00Z,218,
2023-03-15T15:30Z,213,
2023-03-15T16:00Z,207,
2023-03-15T16:30Z,206,
2023-03-15T17:00Z,205,
2023-03-15T17:30Z,202,
2023-03-15T18:00Z,200,
2023-03-15T18:30Z,196,
2023-03-15T19:00Z,182,
2023-03-15T19:30Z,167,
2023-03-15T20:00Z,149,
2023-03-15T20:30Z,133,
2023-03-15T21:00Z,120,
2023-03-15T21:30Z,112,
2023-03-15T22:00Z,107,
2023-03-15T22:30Z,103,
2023-03-15T23:00Z,98,
2023-03-15T23:30Z,92,
2023-03-16T00:00Z,90,
2023-03-16T00:30Z,89,
2023-03-16T01:00Z,87,
2023-03-16T01:30Z,86,
2023-03-16T02:00Z,82,
2023-03-16T02:30Z,79,
2023-03-16T03:00Z,79,
2023-03-16T03:30Z,80,
2023-03-16T04:00Z,80,
2023-03-16T04:30Z,80,
2023-03-16T05:00Z,79,
2023-03-16T05:30Z,81,
2023-03-16T06:00Z,87,
2023-03-16T06:30Z,88,
2023-03-16T07:00Z,89,
2023-03-16T07:30Z,86,
2023-03-16T08:00Z,87,
2023-03-16T08:30Z,82,
2023-03-16T09:00Z,80,
2023-03-16T09:30Z,81,
2023-03-16T10:00Z,80,
2023-03-16T10:30Z,80,
2023-03-16T11:00Z,79,
2023-03-16T11:30Z,78,
2023-03-16T12:00Z,78,
2023-03-16T12:30Z,80,
2023-03-16T13:00Z,81,
2023-03-16T13:30Z,81,
2023-03-16T14:00Z,82,
2023-03-16T14:30Z,82,
2023-03-16T15:00Z,84,
2023-03-16T15:30Z,80,
2023-03-16T16:00Z,84,
2023-03-16T16:30Z,91,
2023-03-16T17:00Z,96,
2023-03-16T17:30Z,99,
2023-03-16T18:00Z,103,
2023-03-16T18:30Z,105,
2023-03-16T19:00Z,101,
2023-03-16T19:30Z,97,
2023-03-16T20:00Z,92,
2023-03-16T20:30Z,90,
2023-03-16T21:00Z,90,
2023-03-16T21:30Z,91,
2023-03-16T22:00Z,90,
2023-03-16T22:30Z,89,
2023-03-16T23:00Z,87,
2023-03-16T23:30Z,88,
2023-03-17T00:00Z,90,
2023-03-17T00:30Z,91,
