from,intensity.forecast,intensity.actual
2023-07-13T04:30Z,193,
2023-07-13T05:00Z,198,
2023-07-13T05:30Z,202,
2023-07-13T06:00Z,200,
2023-07-13T06:30Z,202,
2023-07-13T07:00Z,203,
2023-07-13T07:30Z,201,
2023-07-13T08:00Z,202,
2023-07-13T08:30Z,197,
2023-07-13T09:00Z,192,
2023-07-13T09:30Z,175,
2023-07-13T10:00Z,174,
2023-07-13T10:30Z,169,
2023-07-13T11:00Z,161,
2023-07-13T11:30Z,156,
2023-07-13T12:00Z,150,
2023-07-13T12:30Z,142,
2023-07-13T13:00Z,141,
2023-07-13T13:30Z,142,
2023-07-13T14:00Z,141,
2023-07-13T14:30Z,144,
2023-07-13T15:00Z,146,
2023-07-13T15:30Z,153,
2023-07-13T16:00Z,157,
2023-07-13T16:30Z,161,
2023-07-13T17:00Z,164,
2023-07-13T17:30Z,166,
2023-07-13T18:00Z,183,
2023-07-13T18:30Z,187,
2023-07-13T19:00Z,188,
2023-07-13T19:30Z,190,
2023-07-13T20:00Z,191,
2023-07-13T20:30Z,193,
2023-07-13T21:00Z,193,
2023-07-13T21:30Z,189,
2023-07-13T22:00Z,186,
2023-07-13T22:30Z,183,
2023-07-13T23:00Z,182,
2023-07-13T23:30Z,183,
2023-07-14T00:00Z,190,
2023-07-14T00:30Z,193,
2023-07-14T01:00Z,194,
2023-07-14T01:30Z,190,
2023-07-14T02:00Z,187,
2023-07-14T02:30Z,186,
2023-07-14T03:00Z,185,
2023-07-14T03:30Z,184,
2023-07-14T04:00Z,178,
2023-07-14T04:30Z,178,
2023-07-14T05:00Z,173,
2023-07-14T05:30Z,174,
2023-07-14T06:00Z,174,
2023-07-14T06:30Z,178,
2023-07-14T07:00Z,174,
2023-07-14T07:30Z,171,
2023-07-14T08:00Z,165,
2023-07-14T08:30Z,162,
2023-07-14T09:00Z,157,
2023-07-14T09:30Z,150,
2023-07-14T10:00Z,145,
2023-07-14T10:30Z,143,
2023-07-14T11:00Z,140,
2023-07-14T11:30Z,138,
2023-07-14T12:00Z,137,
2023-07-14T12:30Z,135,
2023-07-14T13:00Z,126,
2023-07-14T13:30Z,117,
2023-07-14T14:00Z,111,
2023-07-14T14:30Z,105,
2023-07-14T15:00Z,98,
2023-07-14T15:30Z,94,
2023-07-14T16:00Z,92,
2023-07-14T16:30Z,86,
2023-07-14T17:00Z,82,
2023-07-14T17:30Z,79,
2023-07-14T18:00Z,79,
2023-07-14T18:30Z,79,
2023-07-14T19:00Z,77,
2023-07-14T19:30Z,76,
2023-07-14T20:00Z,74,
2023-07-14T20:30Z,73,
2023-07-14T21:00Z,73,
2023-07-14T21:30Z,72,
2023-07-14T22:00Z,75,
2023-07-14T22:30Z,75,
2023-07-14T23:00Z,74,
2023-07-14T23:30Z,77,
2023-07-15T00:00Z,78,
2023-07-15T00:30Z,79,
2023-07-15T01:00Z,80,
2023-07-15T01:30Z,81,
2023-07-15T02:00Z,80,
2023-07-15T02:30Z,83,
2023-07-15T03:00Z,83,
2023-07-15T03:30Z,83,
2023-07-15T04:00Z,83,
