from,intensity.forecast,intensity.actual
2023-06-03T23:30Z,152,
2023-06-04T00:00Z,152,
2023-06-04T00:30Z,149,
2023-06-04T01:00Z,151,
2023-06-04T01:30Z,153,
2023-06-04T02:00Z,147,
2023-06-04T02:30Z,144,
2023-06-04T03:00Z,145,
2023-06-04T03:30Z,144,
2023-06-04T04:00Z,140,
2023-06-04T04:30Z,136,
2023-06-04T05:00Z,141,
2023-06-04T05:30Z,138,
2023-06-04T06:00Z,140,
2023-06-04T06:30Z,137,
2023-06-04T07:00Z,135,
2023-06-04T07:30Z,126,
2023-06-04T08:00Z,116,
2023-06-04T08:30Z,107,
2023-06-04T09:00Z,100,
2023-06-04T09:30Z,90,
2023-06-04T10:00Z,84,
2023-06-04T10:30Z,82,
2023-06-04T11:00Z,79,
2023-06-04T11:30Z,78,
2023-06-04T12:00Z,78,
2023-06-04T12:30Z,77,
2023-06-04T13:00Z,78,
2023-06-04T13:30Z,79,
2023-06-04T14:00Z,81,
2023-06-04T14:30Z,82,
2023-06-04T15:00Z,85,
2023-06-04T15:30Z,85,
2023-06-04T16:00Z,96,
2023-06-04T16:30Z,106,
2023-06-04T17:00Z,115,
2023-06-04T17:30Z,123,
2023-06-04T18:00Z,127,
2023-06-04T18:30Z,127,
2023-06-04T19:00Z,129,
2023-06-04T19:30Z,132,
2023-06-04T20:00Z,135,
2023-06-04T20:30Z,133,
2023-06-04T21:00Z,129,
2023-06-04T21:30Z,127,
2023-06-04T22:00Z,123,
2023-06-04T22:30Z,117,
2023-06-04T23:00Z,114,
2023-06-04T23:30Z,114,
2023-06-05T00:00Z,122,
2023-06-05T00:30Z,126,
2023-06-05T01:00Z,127,
2023-06-05T01:30Z,129,
2023-06-05T02:00Z,132,
2023-06-05T02:30Z,133,
2023-06-05T03:00Z,135,
2023-06-05T03:30Z,131,
2023-06-05T04:00Z,126,
2023-06-05T04:30Z,135,
2023-06-05T05:00Z,147,
2023-06-05T05:30Z,155,
2023-06-05T06:00Z,154,
2023-06-05T06:30Z,151,
2023-06-05T07:00Z,150,
2023-06-05T07:30Z,149,
2023-06-05T08:00Z,143,
2023-06-05T08:30Z,138,
2023-06-05T09:00Z,132,
2023-06-05T09:30Z,125,
2023-06-05T10:00Z,121,
2023-06-05T10:30Z,118,
2023-06-05T11:00Z,112,
2023-06-05T11:30Z,108,
2023-06-05T12:00Z,104,
2023-06-05T12:30Z,100,
2023-06-05T13:00Z,97,
2023-06-05T13:30Z,94,
2023-06-05T14:00Z,95,
2023-06-05T14:30Z,102,
2023-06-05T15:00Z,113,
2023-06-05T15:30Z,117,
2023-06-05T16:00Z,123,
2023-06-05T16:30Z,133,
2023-06-05T17:00Z,140,
2023-06-05T17:30Z,144,
2023-06-05T18:00Z,152,
2023-06-05T18:30Z,157,
2023-06-05T19:00Z,161,
2023-06-05T19:30Z,165,
2023-06-05T20:00Z,172,
2023-06-05T20:30Z,173,
2023-06-05T21:00Z,166,
2023-06-05T21:30Z,155,
2023-06-05T22:00Z,145,
2023-06-05T22:30Z,142,
2023-06-05T23:00Z,139,
