from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-08-26T12:30Z,1,2,0.5,0.0,0.4,23.9,1.5,7.3,0.0,1.2,65.2
2023-08-26T12:30Z,2,17,3.6,0.0,3.2,0.0,10.7,53.7,0.0,8.5,20.3
2023-08-26T12:30Z,3,81,5.1,0.0,18.9,0.0,11.8,50.4,0.0,5.6,8.2
2023-08-26T12:30Z,4,3,0.0,0.0,0.0,0.0,87.7,0.0,0.0,9.1,3.2
2023-08-26T12:30Z,5,226,44.2,0.0,43.9,0.0,1.6,0.0,0.0,6.9,3.4
2023-08-26T12:30Z,6,51,2.4,0.0,12.0,0.0,5.9,24.6,0.0,32.7,22.4
2023-08-26T12:30Z,7,296,0.0,0.0,75.2,0.0,0.0,0.0,0.0,14.5,10.3
2023-08-26T12:30Z,8,190,3.4,0.0,45.1,0.0,10.6,11.7,0.0,24.1,5.1
2023-08-26T12:30Z,9,283,6.4,0.0,67.7,0.0,2.0,1.6,0.0,18.4,3.8
2023-08-26T12:30Z,10,154,0.0,0.0,14.6,0.0,21.3,37.7,0.0,16.1,10.4
2023-08-26T12:30Z,11,25,0.1,0.0,5.3,0.0,6.1,0.0,0.0,82.3,6.2
2023-08-26T12:30Z,12,99,0.4,0.0,17.5,0.1,44.4,0.2,0.0,35.2,2.1
2023-08-26T12:30Z,13,149,0.0,0.0,19.6,0.4,31.3,21.1,0.0,16.9,10.7
2023-08-26T12:30Z,14,160,0.0,0.0,26.5,0.8,42.7,0.1,0.0,17.3,12.6
2023-08-26T12:30Z,15,142,6.0,0.0,26.0,0.1,21.0,18.1,0.0,21.9,6.9
2023-08-26T12:30Z,16,47,2.7,0.0,10.5,4.4,1.6,38.8,0.0,8.8,33.3
2023-08-26T12:30Z,17,250,0.0,0.0,63.5,0.0,0.0,0.0,0.0,19.1,17.4
2023-08-26T12:30Z,18,137,5.2,0.0,26.6,0.6,17.1,19.5,0.0,20.1,10.9
2023-08-26T13:00Z,1,2,0.3,0.0,0.3,24.8,0.9,6.0,0.0,0.8,66.9
2023-08-26T13:00Z,2,16,3.5,0.0,3.0,0.0,9.7,54.5,0.0,8.5,20.8
2023-08-26T13:00Z,3,74,4.3,0.0,17.4,0.0,12.2,51.0,0.0,5.2,9.8
2023-08-26T13:00Z,4,3,0.0,0.0,0.0,0.0,88.5,0.1,0.0,8.1,3.4
2023-08-26T13:00Z,5,223,43.7,0.0,43.4,0.0,2.9,0.0,0.0,7.0,3.1
2023-08-26T13:00Z,6,41,1.9,0.0,9.9,0.0,5.4,24.9,0.0,33.1,24.8
2023-08-26T13:00Z,7,297,0.0,0.0,75.3,0.0,0.0,0.0,0.0,13.9,10.8
2023-08-26T13:00Z,8,188,4.4,0.0,45.4,0.0,8.8,12.3,0.0,22.9,6.2
2023-08-26T13:00Z,9,284,8.3,0.0,69.2,0.0,0.9,1.3,0.0,17.3,3.0
2023-08-26T13:00Z,10,136,0.0,0.0,15.9,0.0,15.6,39.3,0.0,17.3,12.0
2023-08-26T13:00Z,11,22,0.1,0.0,4.7,0.0,5.9,0.0,0.0,82.8,6.5
2023-08-26T13:00Z,12,107,1.1,0.0,20.3,0.1,42.4,0.2,0.0,33.9,2.1
2023-08-26T13:00Z,13,142,0.1,0.0,21.0,0.3,25.9,20.6,0.0,19.4,12.8
2023-08-26T13:00Z,14,156,0.0,0.0,27.8,0.8,36.1,0.2,0.0,19.2,15.8
2023-08-26T13:00Z,15,138,6.4,0.0,26.4,0.1,19.7,17.8,0.0,21.9,7.8
2023-08-26T13:00Z,16,42,2.7,0.0,9.6,4.5,1.1,39.4,0.0,8.4,34.3
2023-08-26T13:00Z,17,248,0.0,0.0,63.0,0.0,0.0,0.0,0.0,18.8,18.2
2023-08-26T13:00Z,18,133,5.5,0.0,26.8,0.6,16.1,19.2,0.0,20.0,11.7
2023-08-26T13:30Z,1,1,0.2,0.0,0.2,25.3,0.6,4.6,0.0,0.5,68.6
2023-08-26T13:30Z,2,17,3.8,0.0,3.1,0.0,9.7,53.8,0.0,8.6,21.0
2023-08-26T13:30Z,3,62,4.1,0.0,14.4,0.0,12.9,51.6,0.0,5.0,11.9
2023-08-26T13:30Z,4,3,0.0,0.0,0.0,0.0,89.4,0.1,0.0,7.1,3.5
2023-08-26T13:30Z,5,223,43.6,0.0,43.3,0.0,3.7,0.0,0.0,6.5,3.0
2023-08-26T13:30Z,6,35,1.8,0.0,8.2,0.0,5.5,24.0,0.0,33.7,26.9
2023-08-26T13:30Z,7,298,0.0,0.0,75.5,0.0,0.0,0.0,0.0,13.9,10.6
2023-08-26T13:30Z,8,193,4.7,0.0,47.1,0.0,6.7,12.5,0.0,21.4,7.7
2023-08-26T13:30Z,9,289,9.3,0.0,70.4,0.0,0.8,1.0,0.0,15.9,2.6
2023-08-26T13:30Z,10,117,0.0,0.0,18.7,0.0,9.2,40.8,0.0,18.0,13.3
2023-08-26T13:30Z,11,27,0.2,0.0,5.9,0.0,5.4,0.0,0.0,81.8,6.6
2023-08-26T13:30Z,12,119,1.8,0.0,23.8,0.1,40.6,0.2,0.0,31.7,1.8
2023-08-26T13:30Z,13,135,0.4,0.0,24.1,0.3,19.1,20.0,0.0,21.4,14.7
2023-08-26T13:30Z,14,156,0.0,0.0,31.3,0.8,25.9,0.3,0.0,21.7,20.0
2023-08-26T13:30Z,15,129,6.8,0.0,26.1,0.1,17.7,17.7,0.0,22.5,9.1
2023-08-26T13:30Z,16,40,2.8,0.0,9.1,4.8,0.5,38.8,0.0,8.2,35.8
2023-08-26T13:30Z,17,241,0.0,0.0,61.2,0.0,0.0,0.0,0.0,19.6,19.2
2023-08-26T13:30Z,18,128,5.9,0.0,26.3,0.7,14.4,19.2,0.0,20.5,13.1
2023-08-26T14:00Z,1,0,0.1,0.0,0.1,26.9,0.2,3.5,0.0,0.2,69.0
2023-08-26T14:00Z,2,17,3.7,0.0,3.2,0.0,8.8,55.5,0.0,8.5,20.2
2023-08-26T14:00Z,3,59,3.4,0.0,13.7,0.0,13.5,52.3,0.0,4.9,12.1
2023-08-26T14:00Z,4,3,0.0,0.0,0.0,0.0,90.1,0.1,0.0,6.3,3.5
2023-08-26T14:00Z,5,221,43.9,0.0,42.7,0.0,5.0,0.0,0.0,5.3,3.0
2023-08-26T14:00Z,6,38,1.5,0.0,9.2,0.0,5.2,23.9,0.0,33.0,27.3
2023-08-26T14:00Z,7,299,0.0,0.0,75.9,0.0,0.0,0.0,0.0,14.4,9.8
2023-08-26T14:00Z,8,188,4.5,0.0,46.0,0.0,6.2,13.4,0.0,21.3,8.7
2023-08-26T14:00Z,9,278,11.4,0.0,67.2,0.0,1.3,0.7,0.0,16.5,2.9
2023-08-26T14:00Z,10,101,0.1,0.0,17.9,0.0,6.5,41.8,0.0,18.4,15.3
2023-08-26T14:00Z,11,25,0.3,0.0,5.2,0.0,6.3,0.0,0.0,81.2,6.9
2023-08-26T14:00Z,12,104,2.1,0.0,19.6,0.1,44.0,0.2,0.0,32.2,1.9
2023-08-26T14:00Z,13,124,0.4,0.0,23.0,0.3,19.5,21.2,0.0,20.5,15.1
2023-08-26T14:00Z,14,158,0.0,0.0,31.0,0.8,29.5,0.5,0.0,19.7,18.5
2023-08-26T14:00Z,15,131,6.7,0.0,27.2,0.1,17.6,17.6,0.0,21.5,9.2
2023-08-26T14:00Z,16,37,2.6,0.0,8.5,5.0,0.1,40.1,0.0,7.9,35.7
2023-08-26T14:00Z,17,237,0.0,0.0,60.1,0.0,0.0,0.0,0.0,20.5,19.4
2023-08-26T14:00Z,18,125,5.8,0.0,27.1,0.7,14.3,19.2,0.0,19.8,13.1
2023-08-26T14:30Z,1,1,0.1,0.0,0.1,28.9,0.3,2.8,0.0,0.3,67.6
2023-08-26T14:30Z,2,17,3.5,0.0,3.3,0.0,9.4,56.5,0.0,8.3,19.1
2023-08-26T14:30Z,3,70,3.8,0.0,16.4,0.0,13.2,51.0,0.0,4.4,11.1
2023-08-26T14:30Z,4,3,0.0,0.0,0.0,0.0,90.6,0.2,0.0,5.7,3.5
2023-08-26T14:30Z,5,227,44.5,0.0,43.9,0.0,4.5,0.0,0.0,4.1,2.9
2023-08-26T14:30Z,6,44,1.7,0.0,10.7,0.0,5.5,23.3,0.0,30.7,28.1
2023-08-26T14:30Z,7,296,0.0,0.0,75.1,0.0,0.0,0.0,0.0,15.5,9.4
2023-08-26T14:30Z,8,195,4.6,0.0,47.7,0.0,6.2,14.0,0.0,19.6,7.8
2023-08-26T14:30Z,9,293,10.3,0.0,71.3,0.0,1.1,0.2,0.0,14.3,2.8
2023-08-26T14:30Z,10,103,0.1,0.0,22.6,0.0,3.0,41.4,0.0,16.8,16.2
2023-08-26T14:30Z,11,31,0.3,0.0,6.8,0.0,6.5,0.0,0.0,79.3,7.1
2023-08-26T14:30Z,12,114,2.1,0.0,22.1,0.0,43.3,0.2,0.0,30.4,1.8
2023-08-26T14:30Z,13,124,0.5,0.0,25.0,0.3,18.7,22.2,0.0,18.5,14.7
2023-08-26T14:30Z,14,158,0.0,0.0,30.3,0.8,32.7,0.9,0.0,18.0,17.3
2023-08-26T14:30Z,15,129,6.7,0.0,27.7,0.1,17.8,17.7,0.0,20.6,9.5
2023-08-26T14:30Z,16,30,2.6,0.0,6.9,5.0,0.0,41.9,0.0,7.5,36.0
2023-08-26T14:30Z,17,225,0.0,0.0,57.1,0.0,0.0,0.0,0.0,22.2,20.6
2023-08-26T14:30Z,18,127,5.8,0.0,27.2,0.7,14.5,19.4,0.0,19.1,13.4
2023-08-26T15:00Z,1,1,0.1,0.0,0.1,32.2,0.4,2.0,0.0,0.3,64.9
2023-08-26T15:00Z,2,18,3.6,0.0,3.4,0.0,10.3,56.6,0.0,7.9,18.2
2023-08-26T15:00Z,3,83,3.8,0.0,19.8,0.0,12.6,50.1,0.0,3.7,10.0
2023-08-26T15:00Z,4,3,0.0,0.0,0.0,0.0,91.1,0.3,0.0,5.3,3.3
2023-08-26T15:00Z,5,231,44.4,0.0,45.1,0.0,4.1,0.0,0.0,3.5,2.8
2023-08-26T15:00Z,6,53,1.8,0.0,12.8,0.0,5.8,24.3,0.0,26.8,28.6
2023-08-26T15:00Z,7,301,0.0,0.0,76.4,0.0,0.0,0.0,0.0,14.7,8.8
2023-08-26T15:00Z,8,214,4.4,0.0,53.0,0.0,4.4,14.0,0.0,16.7,7.6
2023-08-26T15:00Z,9,312,9.3,0.0,76.3,0.0,0.9,0.0,0.0,11.1,2.4
2023-08-26T15:00Z,10,111,0.2,0.0,26.3,0.0,1.5,40.9,0.0,15.3,15.7
2023-08-26T15:00Z,11,30,0.5,0.0,6.4,0.0,8.4,0.1,0.0,77.5,7.1
2023-08-26T15:00Z,12,130,2.5,0.0,26.5,0.0,41.1,0.4,0.0,28.0,1.5
2023-08-26T15:00Z,13,129,0.8,0.0,28.3,0.3,15.2,23.0,0.0,17.7,14.7
2023-08-26T15:00Z,14,162,0.0,0.0,33.6,0.9,26.9,1.3,0.0,18.6,18.7
2023-08-26T15:00Z,15,137,6.5,0.0,30.5,0.1,16.6,17.9,0.0,19.0,9.4
2023-08-26T15:00Z,16,33,2.7,0.0,7.5,5.4,0.0,42.1,0.0,7.1,35.1
2023-08-26T15:00Z,17,236,0.0,0.0,59.8,0.0,0.0,0.0,0.0,20.4,19.8
2023-08-26T15:00Z,18,135,5.6,0.0,29.8,0.7,13.5,19.5,0.0,17.7,13.2
2023-08-26T15:30Z,1,1,0.2,0.0,0.2,35.0,0.6,1.5,0.0,0.4,62.2
