from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-09-14T03:30Z,1,22,0.0,0.0,5.5,0.7,0.0,0.0,0.0,0.0,93.8
2023-09-14T03:30Z,2,13,0.7,0.0,3.1,0.3,0.0,18.8,0.0,0.0,77.1
2023-09-14T03:30Z,3,21,0.3,0.0,5.1,0.1,4.0,42.1,0.0,0.0,48.3
2023-09-14T03:30Z,4,7,0.3,0.0,1.5,0.2,29.9,26.9,0.0,0.0,41.1
2023-09-14T03:30Z,5,101,22.5,0.0,18.7,0.1,8.7,13.5,0.0,0.0,36.5
2023-09-14T03:30Z,6,56,0.3,0.0,14.1,0.6,1.2,20.3,0.0,0.0,63.5
2023-09-14T03:30Z,7,245,0.1,0.0,62.1,0.1,0.6,7.1,0.0,0.0,30.0
2023-09-14T03:30Z,8,42,0.7,0.2,10.0,0.4,2.8,30.7,0.0,0.0,55.4
2023-09-14T03:30Z,9,193,14.6,5.6,31.1,0.0,5.6,8.6,0.0,0.0,34.4
2023-09-14T03:30Z,10,126,6.8,2.6,23.7,0.0,2.6,36.2,0.0,0.0,28.1
2023-09-14T03:30Z,11,239,3.8,1.4,56.1,0.1,2.1,10.2,0.0,0.0,26.3
2023-09-14T03:30Z,12,155,6.4,2.4,31.5,0.2,3.6,17.2,0.0,0.0,38.7
2023-09-14T03:30Z,13,151,5.7,2.2,30.7,0.1,8.3,26.4,0.0,0.0,26.7
2023-09-14T03:30Z,14,198,3.0,1.1,43.9,0.3,22.5,13.6,0.0,0.0,15.7
2023-09-14T03:30Z,15,129,6.2,1.6,26.7,0.2,5.2,23.4,0.0,0.0,36.7
2023-09-14T03:30Z,16,10,0.7,0.0,2.3,0.3,0.0,16.9,0.0,0.0,79.8
2023-09-14T03:30Z,17,75,0.4,0.0,18.8,1.2,0.0,9.6,0.0,0.0,70.0
2023-09-14T03:30Z,18,112,5.3,1.4,23.8,0.2,4.4,21.9,0.0,0.0,42.8
2023-09-14T04:00Z,1,22,0.0,0.0,5.6,1.0,0.0,0.0,0.0,0.0,93.4
2023-09-14T04:00Z,2,13,0.7,0.0,3.2,0.5,0.0,19.1,0.0,0.0,76.5
2023-09-14T04:00Z,3,22,0.3,0.0,5.5,0.2,4.3,42.9,0.0,0.0,46.9
2023-09-14T04:00Z,4,7,0.3,0.0,1.5,0.2,30.9,26.9,0.0,0.0,40.1
2023-09-14T04:00Z,5,107,21.7,0.0,20.5,0.1,8.7,12.9,0.0,0.0,36.2
2023-09-14T04:00Z,6,56,0.3,0.0,14.1,0.7,1.4,21.1,0.0,0.0,62.4
2023-09-14T04:00Z,7,252,0.2,0.0,63.7,0.1,0.6,7.0,0.0,0.0,28.4
2023-09-14T04:00Z,8,44,0.8,0.2,10.5,0.4,3.0,31.7,0.0,0.0,53.4
2023-09-14T04:00Z,9,202,13.6,5.7,33.5,0.1,5.5,8.4,0.0,0.0,33.2
2023-09-14T04:00Z,10,131,6.2,2.6,25.0,0.0,2.5,36.0,0.0,0.0,27.6
2023-09-14T04:00Z,11,246,3.5,1.4,58.0,0.1,2.1,10.0,0.0,0.0,24.8
2023-09-14T04:00Z,12,166,6.0,2.5,34.3,0.2,3.6,17.1,0.0,0.0,36.3
2023-09-14T04:00Z,13,156,5.2,2.2,32.2,0.1,8.3,26.5,0.0,0.0,25.5
2023-09-14T04:00Z,14,202,2.6,1.1,44.9,0.3,22.7,13.7,0.0,0.0,14.7
2023-09-14T04:00Z,15,136,6.2,1.7,28.6,0.2,5.5,23.1,0.0,0.0,34.8
2023-09-14T04:00Z,16,10,0.7,0.0,2.4,0.4,0.0,16.9,0.0,0.0,79.5
2023-09-14T04:00Z,17,79,0.4,0.0,19.8,1.4,0.0,9.8,0.0,0.0,68.5
2023-09-14T04:00Z,18,118,5.3,1.4,25.5,0.3,4.6,21.7,0.0,0.0,41.2
2023-09-14T04:30Z,1,22,0.0,0.0,5.6,2.1,0.0,0.0,0.0,0.0,92.3
2023-09-14T04:30Z,2,14,0.7,0.0,3.3,1.0,0.0,19.7,0.0,0.0,75.4
2023-09-14T04:30Z,3,24,0.3,0.0,5.8,0.4,4.5,44.2,0.0,0.0,44.8
2023-09-14T04:30Z,4,8,0.3,0.0,1.6,0.4,31.9,26.4,0.0,0.0,39.3
2023-09-14T04:30Z,5,115,20.3,0.0,22.9,0.2,8.6,12.4,0.0,0.0,35.6
2023-09-14T04:30Z,6,58,0.4,0.0,14.7,0.9,1.5,21.9,0.0,0.0,60.7
2023-09-14T04:30Z,7,246,0.2,0.1,62.2,0.1,0.7,7.1,0.0,0.0,29.5
2023-09-14T04:30Z,8,48,0.9,0.3,11.2,0.6,3.2,32.3,0.0,0.0,51.5
2023-09-14T04:30Z,9,209,12.7,5.6,35.7,0.1,5.4,7.8,0.0,0.0,32.6
2023-09-14T04:30Z,10,134,5.7,2.6,26.3,0.0,2.4,35.8,0.0,0.0,27.2
2023-09-14T04:30Z,11,260,3.0,1.4,61.6,0.2,2.0,9.9,0.0,0.0,21.9
2023-09-14T04:30Z,12,174,5.7,2.4,36.6,0.3,3.7,16.8,0.0,0.0,34.4
2023-09-14T04:30Z,13,161,4.6,2.1,33.5,0.2,10.3,25.2,0.0,0.0,24.2
2023-09-14T04:30Z,14,197,2.1,1.0,43.5,0.3,27.6,12.9,0.0,0.0,12.7
2023-09-14T04:30Z,15,140,6.2,1.9,29.0,0.2,5.4,22.7,0.0,0.0,34.6
2023-09-14T04:30Z,16,11,0.7,0.0,2.5,0.8,0.0,17.6,0.0,0.0,78.5
2023-09-14T04:30Z,17,75,0.4,0.0,18.8,1.4,0.0,10.6,0.0,0.0,68.7
2023-09-14T04:30Z,18,122,5.4,1.6,25.9,0.3,4.6,21.5,0.0,0.0,40.6
2023-09-14T05:00Z,1,18,0.0,0.0,4.7,3.3,0.0,0.0,0.0,0.0,92.1
2023-09-14T05:00Z,2,12,0.7,0.0,2.9,1.5,0.0,18.8,0.0,0.0,76.1
2023-09-14T05:00Z,3,23,0.3,0.0,5.7,0.6,4.7,45.6,0.0,0.0,43.1
2023-09-14T05:00Z,4,7,0.3,0.0,1.3,0.7,33.5,26.5,0.0,0.0,37.7
2023-09-14T05:00Z,5,119,20.4,0.0,23.9,0.2,8.7,11.9,0.0,0.0,34.9
2023-09-14T05:00Z,6,61,0.4,0.0,15.3,1.0,1.6,22.7,0.0,0.0,59.0
2023-09-14T05:00Z,7,257,0.2,0.1,65.0,0.2,0.7,5.9,0.0,0.0,28.0
2023-09-14T05:00Z,8,50,0.9,0.3,11.5,0.7,3.4,32.8,0.0,0.0,50.3
2023-09-14T05:00Z,9,217,12.7,6.1,36.9,0.1,5.4,7.3,0.0,0.0,31.5
2023-09-14T05:00Z,10,141,5.7,2.8,27.2,0.1,2.4,35.1,0.0,0.0,26.8
2023-09-14T05:00Z,11,262,3.1,1.5,62.0,0.2,2.1,9.5,0.0,0.0,21.7
2023-09-14T05:00Z,12,181,5.6,2.6,37.9,0.4,3.8,16.7,0.0,0.0,33.0
2023-09-14T05:00Z,13,171,4.7,2.2,35.9,0.2,8.0,24.4,0.0,0.0,24.5
2023-09-14T05:00Z,14,218,2.3,1.1,49.3,0.4,21.0,12.3,0.0,0.0,13.5
2023-09-14T05:00Z,15,147,6.4,2.2,30.1,0.3,5.3,22.6,0.0,0.0,33.1
2023-09-14T05:00Z,16,11,0.7,0.0,2.6,1.2,0.0,17.2,0.0,0.0,78.4
2023-09-14T05:00Z,17,75,0.4,0.0,18.9,1.4,0.0,10.6,0.0,0.0,68.7
2023-09-14T05:00Z,18,127,5.5,1.9,26.7,0.4,4.5,21.4,0.0,0.0,39.5
2023-09-14T05:30Z,1,19,0.0,0.0,4.8,4.5,0.0,0.0,0.0,0.0,90.7
2023-09-14T05:30Z,2,13,0.6,0.0,3.1,2.0,0.0,18.5,0.0,0.0,75.7
2023-09-14T05:30Z,3,25,0.3,0.0,6.1,0.8,5.1,45.0,0.0,0.0,42.8
2023-09-14T05:30Z,4,7,0.3,0.0,1.4,0.9,34.8,26.8,0.0,0.0,35.9
2023-09-14T05:30Z,5,123,20.0,0.0,25.2,0.3,8.8,11.6,0.0,0.0,34.2
2023-09-14T05:30Z,6,66,0.3,0.0,16.6,1.1,1.8,22.4,0.0,0.0,57.8
2023-09-14T05:30Z,7,255,0.2,0.1,64.4,0.1,0.9,4.7,0.0,0.0,29.5
2023-09-14T05:30Z,8,52,0.9,0.4,12.0,0.9,3.6,34.5,0.0,0.0,47.7
2023-09-14T05:30Z,9,228,12.2,6.8,38.0,0.2,5.4,7.0,0.0,0.0,30.5
2023-09-14T05:30Z,10,150,5.7,3.2,28.8,0.1,2.5,32.8,0.0,0.0,26.9
2023-09-14T05:30Z,11,261,3.2,1.7,61.1,0.3,2.3,9.3,0.0,0.0,22.1
2023-09-14T05:30Z,12,188,5.3,2.9,39.1,0.4,3.8,16.6,0.0,0.0,31.7
2023-09-14T05:30Z,13,178,4.6,2.6,36.8,0.3,7.3,24.1,0.0,0.0,24.2
2023-09-14T05:30Z,14,227,2.3,1.3,51.4,0.6,19.2,11.5,0.0,0.0,13.7
2023-09-14T05:30Z,15,153,6.3,2.5,31.0,0.4,5.3,21.7,0.0,0.0,32.9
2023-09-14T05:30Z,16,11,0.6,0.0,2.6,1.6,0.0,17.2,0.0,0.0,77.9
2023-09-14T05:30Z,17,46,0.5,0.0,11.6,1.3,0.0,10.7,0.0,0.0,75.9
2023-09-14T05:30Z,18,132,5.4,2.1,27.2,0.5,4.5,20.7,0.0,0.0,39.6
2023-09-14T06:00Z,1,22,0.0,0.0,5.7,5.1,0.0,0.0,0.0,0.0,89.3
2023-09-14T06:00Z,2,15,0.6,0.0,3.5,2.4,0.0,19.4,0.0,0.0,74.1
2023-09-14T06:00Z,3,28,0.2,0.0,6.9,0.9,5.3,45.2,0.0,0.0,41.4
2023-09-14T06:00Z,4,7,0.3,0.0,1.5,1.0,35.8,26.9,0.0,0.0,34.5
2023-09-14T06:00Z,5,132,17.5,0.0,28.2,0.3,9.0,11.2,0.0,0.0,33.7
2023-09-14T06:00Z,6,71,0.3,0.0,18.0,1.3,1.8,23.0,0.0,0.0,55.6
2023-09-14T06:00Z,7,325,0.0,0.0,82.4,0.1,0.0,3.4,0.0,0.0,14.2
2023-09-14T06:00Z,8,59,0.7,0.4,13.9,1.0,3.7,34.4,0.0,0.0,46.0
2023-09-14T06:00Z,9,247,10.0,7.2,42.6,0.2,5.1,6.6,0.0,0.0,28.3
2023-09-14T06:00Z,10,165,4.8,3.3,32.7,0.1,2.5,31.0,0.0,0.0,25.6
2023-09-14T06:00Z,11,272,2.5,1.7,64.2,0.3,2.2,8.8,0.0,0.0,20.3
2023-09-14T06:00Z,12,198,4.4,3.0,41.9,0.5,3.8,16.0,0.0,0.0,30.4
2023-09-14T06:00Z,13,190,4.0,2.8,40.0,0.3,5.8,23.5,0.0,0.0,23.6
2023-09-14T06:00Z,14,242,2.1,1.4,55.6,0.7,14.8,10.9,0.0,0.0,14.4
2023-09-14T06:00Z,15,171,5.6,2.6,35.5,0.4,5.2,21.3,0.0,0.0,29.4
2023-09-14T06:00Z,16,11,0.6,0.0,2.6,1.9,0.0,17.5,0.0,0.0,77.4
2023-09-14T06:00Z,17,102,0.4,0.0,25.9,1.4,0.0,10.6,0.0,0.0,61.8
2023-09-14T06:00Z,18,147,4.9,2.2,31.8,0.6,4.4,20.4,0.0,0.0,35.8
2023-09-14T06:30Z,1,26,0.0,0.0,6.7,5.6,0.0,0.0,0.0,0.0,87.7
2023-09-14T06:30Z,2,17,0.6,0.0,4.1,2.7,0.0,20.0,0.0,0.0,72.6
2023-09-14T06:30Z,3,37,0.2,0.0,9.3,1.0,5.2,46.0,0.0,0.0,38.3
2023-09-14T06:30Z,4,8,0.3,0.0,1.7,1.1,37.2,26.9,0.0,0.0,32.8
2023-09-14T06:30Z,5,139,17.8,0.0,29.8,0.3,9.0,10.7,0.0,0.0,32.2
2023-09-14T06:30Z,6,81,0.3,0.0,20.5,1.4,1.9,23.5,0.0,0.0,52.4
2023-09-14T06:30Z,7,336,0.0,0.0,85.4,0.0,0.0,2.3,0.0,0.0,12.3
2023-09-14T06:30Z,8,74,0.7,0.4,17.6,1.1,3.6,35.2,0.0,0.0,41.6
2023-09-14T06:30Z,9,257,9.6,6.7,46.4,0.2,4.8,6.1,0.0,0.0,26.2
2023-09-14T06:30Z,10,175,4.4,3.2,35.5,0.1,2.2,31.4,0.0,0.0,23.1
2023-09-14T06:30Z,11,273,2.5,1.7,64.5,0.3,2.4,9.2,0.0,0.0,19.4
2023-09-14T06:30Z,12,212,4.0,2.9,45.7,0.5,3.8,16.0,0.0,0.0,27.0
2023-09-14T06:30Z,13,201,3.8,2.6,43.4,0.3,6.1,22.2,0.0,0.0,21.7
2023-09-14T06:30Z,14,245,2.0,1.3,56.4,0.7,16.0,10.5,0.0,0.0,13.1
2023-09-14T06:30Z,15,179,5.6,2.4,37.9,0.4,5.0,20.9,0.0,0.0,27.6
2023-09-14T06:30Z,16,11,0.6,0.0,2.6,2.3,0.0,17.9,0.0,0.0,76.5
2023-09-14T06:30Z,17,117,0.4,0.0,29.5,1.4,0.0,10.6,0.0,0.0,58.2
2023-09-14T06:30Z,18,156,4.9,2.1,34.1,0.7,4.3,20.1,0.0,0.0,33.9
2023-09-14T07:00Z,1,22,0.0,0.0,5.6,6.0,0.0,0.0,0.0,0.0,88.4
2023-09-14T07:00Z,2,15,0.6,0.0,3.6,2.7,0.0,19.3,0.0,0.0,73.7
2023-09-14T07:00Z,3,42,0.2,0.0,10.5,1.0,5.6,46.7,0.0,0.0,35.9
2023-09-14T07:00Z,4,7,0.2,0.0,1.4,1.1,39.2,27.7,0.0,0.0,30.3
2023-09-14T07:00Z,5,158,17.7,0.0,34.5,0.3,8.4,10.3,0.0,0.0,28.8
2023-09-14T07:00Z,6,86,0.3,0.0,21.8,1.5,2.1,24.3,0.0,0.0,50.1
2023-09-14T07:00Z,7,343,0.0,0.0,87.2,0.0,0.0,1.4,0.0,0.0,11.5
2023-09-14T07:00Z,8,89,0.8,0.3,21.5,1.1,3.8,34.4,0.0,0.0,38.2
2023-09-14T07:00Z,9,262,9.6,5.8,49.6,0.2,4.5,5.8,0.0,0.0,24.4
2023-09-14T07:00Z,10,182,4.4,2.7,38.5,0.1,2.1,30.6,0.0,0.0,21.7
2023-09-14T07:00Z,11,268,2.7,1.6,63.2,0.3,2.6,10.3,0.0,0.0,19.2
2023-09-14T07:00Z,12,220,4.1,2.4,48.8,0.5,3.8,16.0,0.0,0.0,24.4
2023-09-14T07:00Z,13,207,3.6,2.2,45.6,0.3,7.2,22.0,0.0,0.0,19.1
2023-09-14T07:00Z,14,244,1.7,1.1,56.4,0.7,19.5,10.4,0.0,0.0,10.3
2023-09-14T07:00Z,15,182,5.5,2.0,39.7,0.5,5.1,21.3,0.0,0.0,25.9
2023-09-14T07:00Z,16,12,0.6,0.0,2.8,2.4,0.0,17.3,0.0,0.0,76.8
2023-09-14T07:00Z,17,129,0.3,0.0,32.7,1.3,0.0,10.0,0.0,0.0,55.6
2023-09-14T07:00Z,18,159,4.7,1.7,35.5,0.7,4.3,20.2,0.0,0.0,32.9
2023-09-14T07:30Z,1,26,0.0,0.0,6.5,6.2,0.0,0.0,0.0,0.0,87.3
2023-09-14T07:30Z,2,17,0.6,0.0,4.1,2.9,0.0,20.0,0.0,0.0,72.3
2023-09-14T07:30Z,3,45,0.2,0.0,11.2,1.1,5.8,46.8,0.0,0.0,34.9
2023-09-14T07:30Z,4,8,0.2,0.0,1.6,1.1,39.5,27.6,0.0,0.0,30.0
2023-09-14T07:30Z,5,160,19.0,0.0,34.8,0.3,8.3,9.8,0.0,0.0,27.8
2023-09-14T07:30Z,6,92,0.3,0.0,23.3,1.5,2.0,25.1,0.0,0.0,47.7
2023-09-14T07:30Z,7,349,0.0,0.0,88.5,0.0,0.0,0.0,0.0,0.0,11.5
2023-09-14T07:30Z,8,93,0.8,0.3,22.6,1.1,3.8,34.1,0.0,0.0,37.2
2023-09-14T07:30Z,9,264,10.2,5.6,50.4,0.2,4.5,5.6,0.0,0.0,23.5
2023-09-14T07:30Z,10,188,4.8,2.6,40.2,0.1,2.1,29.2,0.0,0.0,21.1
2023-09-14T07:30Z,11,273,2.9,1.5,64.7,0.3,2.8,9.8,0.0,0.0,18.1
2023-09-14T07:30Z,12,225,4.3,2.3,50.1,0.5,4.1,15.6,0.0,0.0,23.1
2023-09-14T07:30Z,13,210,3.8,2.1,46.5,0.3,7.4,21.7,0.0,0.0,18.2
2023-09-14T07:30Z,14,244,1.7,1.0,56.6,0.7,20.0,10.5,0.0,0.0,9.6
2023-09-14T07:30Z,15,180,5.5,1.8,39.5,0.5,5.6,21.0,0.0,0.0,26.1
2023-09-14T07:30Z,16,12,0.6,0.0,2.8,2.6,0.0,17.4,0.0,0.0,76.6
2023-09-14T07:30Z,17,145,0.3,0.0,36.7,1.3,0.0,9.4,0.0,0.0,52.3
2023-09-14T07:30Z,18,160,4.7,1.5,35.5,0.7,4.7,20.0,0.0,0.0,32.9
2023-09-14T08:00Z,1,27,0.0,0.0,6.7,6.3,0.0,0.0,0.0,0.0,87.0
2023-09-14T08:00Z,2,17,0.6,0.0,4.2,2.9,0.0,19.9,0.0,0.0,72.3
2023-09-14T08:00Z,3,47,0.2,0.0,11.7,1.1,5.9,47.1,0.0,0.0,33.9
2023-09-14T08:00Z,4,8,0.2,0.0,1.6,1.1,39.4,27.3,0.0,0.0,30.3
2023-09-14T08:00Z,5,160,18.1,0.0,35.0,0.3,8.7,10.0,0.0,0.0,27.8
2023-09-14T08:00Z,6,93,0.3,0.0,23.5,1.5,2.1,24.9,0.0,0.0,47.7
2023-09-14T08:00Z,7,351,0.0,0.0,89.2,0.0,0.0,0.0,0.0,0.0,10.8
2023-09-14T08:00Z,8,97,0.6,0.3,23.7,1.1,3.9,33.8,0.0,0.0,36.5
2023-09-14T08:00Z,9,263,10.1,6.1,49.2,0.2,4.9,5.4,0.0,0.0,24.1
2023-09-14T08:00Z,10,189,4.8,2.9,39.7,0.1,2.3,29.0,0.0,0.0,21.3
2023-09-14T08:00Z,11,271,2.8,1.6,63.8,0.3,3.0,9.6,0.0,0.0,18.8
2023-09-14T08:00Z,12,226,4.1,2.5,50.2,0.5,4.4,14.9,0.0,0.0,23.5
2023-09-14T08:00Z,13,216,3.9,2.3,47.7,0.3,5.3,21.5,0.0,0.0,19.0
2023-09-14T08:00Z,14,267,1.9,1.2,63.0,0.7,12.2,10.1,0.0,0.0,10.8
2023-09-14T08:00Z,15,180,5.4,1.8,39.7,0.5,5.8,21.2,0.0,0.0,25.6
2023-09-14T08:00Z,16,11,0.6,0.0,2.7,2.7,0.0,17.4,0.0,0.0,76.5
2023-09-14T08:00Z,17,171,0.3,0.0,43.2,1.3,0.0,9.1,0.0,0.0,46.1
2023-09-14T08:00Z,18,162,4.6,1.5,35.9,0.8,4.8,20.1,0.0,0.0,32.3
2023-09-14T08:30Z,1,22,0.0,0.0,5.6,6.2,0.0,0.0,0.0,0.0,88.3
2023-09-14T08:30Z,2,15,0.6,0.0,3.6,2.9,0.0,20.3,0.0,0.0,72.5
2023-09-14T08:30Z,3,46,0.2,0.0,11.6,1.1,6.1,46.9,0.0,0.0,34.0
2023-09-14T08:30Z,4,7,0.2,0.0,1.4,1.1,39.4,26.9,0.0,0.0,31.0
2023-09-14T08:30Z,5,158,17.5,0.0,34.8,0.3,9.3,9.4,0.0,0.0,28.7
2023-09-14T08:30Z,6,95,0.3,0.0,24.1,1.5,2.2,24.5,0.0,0.0,47.4
2023-09-14T08:30Z,7,352,0.0,0.0,89.4,0.0,0.0,0.0,0.0,0.0,10.6
2023-09-14T08:30Z,8,101,0.6,0.3,24.8,1.1,3.9,33.1,0.0,0.0,36.1
2023-09-14T08:30Z,9,271,9.4,6.9,49.3,0.2,5.0,5.3,0.0,0.0,24.0
2023-09-14T08:30Z,10,192,4.4,3.3,39.4,0.1,2.4,29.5,0.0,0.0,20.9
2023-09-14T08:30Z,11,278,2.5,1.9,65.1,0.3,2.8,9.4,0.0,0.0,18.1
2023-09-14T08:30Z,12,232,3.8,2.7,51.0,0.5,4.2,14.4,0.0,0.0,23.3
2023-09-14T08:30Z,13,224,3.7,2.7,49.2,0.3,4.2,20.4,0.0,0.0,19.5
2023-09-14T08:30Z,14,283,1.9,1.4,67.0,0.7,8.2,9.1,0.0,0.0,11.6
2023-09-14T08:30Z,15,183,5.2,2.0,40.1,0.5,5.7,21.2,0.0,0.0,25.3
2023-09-14T08:30Z,16,10,0.6,0.0,2.4,2.8,0.0,17.8,0.0,0.0,76.3
2023-09-14T08:30Z,17,181,0.3,0.0,45.7,1.3,0.0,8.7,0.0,0.0,44.0
2023-09-14T08:30Z,18,165,4.4,1.7,36.3,0.8,4.7,20.1,0.0,0.0,32.0
2023-09-14T09:00Z,1,22,0.0,0.0,5.5,5.9,0.0,0.0,0.0,0.0,88.6
2023-09-14T09:00Z,2,15,0.7,0.0,3.6,2.7,0.0,20.1,0.0,0.0,72.9
2023-09-14T09:00Z,3,45,0.2,0.0,11.4,1.0,6.3,47.7,0.0,0.0,33.2
2023-09-14T09:00Z,4,7,0.2,0.0,1.4,1.0,39.8,26.9,0.0,0.0,30.6
2023-09-14T09:00Z,5,164,17.6,0.0,36.1,0.3,9.1,9.6,0.0,0.0,27.3
2023-09-14T09:00Z,6,96,0.4,0.0,24.1,1.5,2.3,24.9,0.0,0.0,46.8
2023-09-14T09:00Z,7,354,0.0,0.0,89.9,0.0,0.0,0.0,0.0,0.0,10.1
2023-09-14T09:00Z,8,104,0.6,0.3,25.6,1.1,4.1,33.0,0.0,0.0,35.3
2023-09-14T09:00Z,9,273,9.6,6.8,50.2,0.2,5.0,5.2,0.0,0.0,23.1
2023-09-14T09:00Z,10,194,4.7,3.2,40.2,0.1,2.4,28.9,0.0,0.0,20.5
2023-09-14T09:00Z,11,270,2.8,1.8,63.2,0.3,3.4,9.4,0.0,0.0,19.0
2023-09-14T09:00Z,12,233,3.9,2.7,51.3,0.5,4.6,14.4,0.0,0.0,22.5
2023-09-14T09:00Z,13,225,3.9,2.6,49.3,0.3,3.9,20.7,0.0,0.0,19.1
2023-09-14T09:00Z,14,286,2.1,1.3,68.1,0.7,6.5,9.4,0.0,0.0,11.8
2023-09-14T09:00Z,15,184,5.6,1.9,40.3,0.5,5.6,21.4,0.0,0.0,24.6
2023-09-14T09:00Z,16,12,0.6,0.0,2.9,2.9,0.0,17.9,0.0,0.0,75.7
