from,regions.regionid,regions.intensity.forecast,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-09-20T09:00Z,1,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,96.0
2023-09-20T09:00Z,2,5,1.1,0.0,1.0,0.9,0.0,18.4,0.0,0.9,77.7
2023-09-20T09:00Z,3,6,0.3,0.0,1.4,0.3,5.1,38.2,0.0,0.5,54.3
2023-09-20T09:00Z,4,3,0.4,0.0,0.3,0.3,40.0,22.0,0.0,0.8,36.2
2023-09-20T09:00Z,5,48,14.9,0.0,7.6,0.1,9.8,9.2,0.0,1.1,57.4
2023-09-20T09:00Z,6,22,0.4,0.0,5.4,6.1,1.4,16.1,0.0,2.5,68.0
2023-09-20T09:00Z,7,30,0.7,0.4,6.4,1.3,1.9,13.0,0.0,2.5,73.9
2023-09-20T09:00Z,8,31,1.4,0.8,5.3,2.4,3.7,24.3,0.0,1.8,60.3
2023-09-20T09:00Z,9,134,7.6,5.9,17.6,0.1,5.0,4.8,0.0,2.0,57.0
2023-09-20T09:00Z,10,1,0.0,0.0,0.2,0.0,0.0,24.5,0.0,6.0,69.3
2023-09-20T09:00Z,11,124,1.0,0.8,25.9,0.2,21.8,1.9,0.0,15.2,33.2
2023-09-20T09:00Z,12,124,1.9,1.5,21.0,0.3,41.8,3.6,0.0,6.0,24.0
2023-09-20T09:00Z,13,53,0.0,0.0,7.3,0.3,26.2,12.5,0.0,5.2,48.5
2023-09-20T09:00Z,14,101,0.0,0.0,13.8,0.6,51.0,1.2,0.0,4.4,29.0
2023-09-20T09:00Z,15,53,2.5,1.1,7.9,0.6,16.6,16.2,0.0,3.6,51.5
2023-09-20T09:00Z,16,5,0.8,0.0,1.1,1.4,0.0,15.9,0.0,0.8,80.0
2023-09-20T09:00Z,17,23,0.4,0.0,5.8,7.2,0.0,6.6,0.0,2.3,77.8
2023-09-20T09:00Z,18,48,2.2,0.9,7.0,1.1,13.6,15.5,0.0,3.2,56.4
2023-09-20T09:30Z,1,0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,96.2
2023-09-20T09:30Z,2,5,1.0,0.0,1.0,0.9,0.0,18.1,0.0,1.2,77.8
2023-09-20T09:30Z,3,7,0.3,0.0,1.8,0.3,5.1,37.2,0.0,0.7,54.6
2023-09-20T09:30Z,4,3,0.4,0.0,0.3,0.3,38.9,22.1,0.0,1.1,36.9
2023-09-20T09:30Z,5,47,14.7,0.0,7.5,0.1,9.8,9.3,0.0,1.4,57.2
2023-09-20T09:30Z,6,22,0.4,0.0,5.4,6.1,1.4,16.0,0.0,3.1,67.5
2023-09-20T09:30Z,7,32,0.7,0.5,6.8,1.4,1.9,13.5,0.0,3.0,72.1
2023-09-20T09:30Z,8,31,1.4,0.9,5.2,2.5,3.6,24.3,0.0,2.4,59.7
2023-09-20T09:30Z,9,133,7.7,6.2,16.6,0.1,5.1,4.8,0.0,2.7,56.9
2023-09-20T09:30Z,10,1,0.0,0.0,0.4,0.0,0.0,24.4,0.0,6.6,68.7
2023-09-20T09:30Z,11,125,1.0,0.8,26.2,0.2,20.7,1.7,0.0,18.7,30.8
2023-09-20T09:30Z,12,125,2.0,1.6,21.0,0.3,40.8,3.3,0.0,6.4,24.6
2023-09-20T09:30Z,13,54,0.0,0.0,7.7,0.3,25.7,12.3,0.0,5.8,48.2
2023-09-20T09:30Z,14,103,0.0,0.0,14.3,0.5,50.0,0.9,0.0,5.1,29.2
2023-09-20T09:30Z,15,54,2.5,1.2,7.9,0.6,16.1,16.0,0.0,4.3,51.5
2023-09-20T09:30Z,16,5,0.8,0.0,1.1,1.4,0.0,15.7,0.0,1.0,80.0
2023-09-20T09:30Z,17,22,0.4,0.0,5.3,7.0,0.0,6.7,0.0,2.9,77.6
2023-09-20T09:30Z,18,48,2.2,1.0,7.0,1.1,13.3,15.4,0.0,3.9,56.2
2023-09-20T10:00Z,1,0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,96.5
2023-09-20T10:00Z,2,5,1.0,0.0,0.9,0.9,0.0,17.4,0.0,1.5,78.2
2023-09-20T10:00Z,3,7,0.3,0.0,1.6,0.3,5.0,37.2,0.0,1.0,54.5
2023-09-20T10:00Z,4,3,0.4,0.0,0.3,0.3,38.0,21.9,0.0,1.4,37.7
2023-09-20T10:00Z,5,48,15.2,0.0,7.4,0.1,9.7,9.3,0.0,1.6,56.6
2023-09-20T10:00Z,6,21,0.4,0.0,5.0,6.1,1.4,15.9,0.0,3.8,67.3
2023-09-20T10:00Z,7,33,0.8,0.5,6.9,1.5,2.1,14.3,0.0,3.2,70.7
2023-09-20T10:00Z,8,28,1.4,0.8,4.6,2.5,3.6,24.5,0.0,3.0,59.5
2023-09-20T10:00Z,9,127,8.2,6.4,14.3,0.1,5.2,5.0,0.0,3.5,57.3
2023-09-20T10:00Z,10,2,0.0,0.0,0.5,0.0,0.0,24.5,0.0,6.6,68.3
2023-09-20T10:00Z,11,126,1.1,0.8,26.6,0.2,20.3,1.8,0.0,20.6,28.6
2023-09-20T10:00Z,12,122,2.2,1.6,20.4,0.3,39.3,3.5,0.0,6.8,25.8
2023-09-20T10:00Z,13,51,0.1,0.1,6.9,0.3,25.2,12.3,0.0,6.0,49.2
2023-09-20T10:00Z,14,96,0.0,0.0,12.5,0.5,50.1,0.9,0.0,5.3,30.6
2023-09-20T10:00Z,15,52,2.7,1.2,7.9,0.6,14.4,15.9,0.0,4.8,52.4
2023-09-20T10:00Z,16,5,0.8,0.0,1.0,1.3,0.0,15.2,0.0,1.3,80.3
2023-09-20T10:00Z,17,21,0.4,0.0,5.2,7.3,0.1,6.8,0.0,3.3,76.9
2023-09-20T10:00Z,18,46,2.4,1.0,7.0,1.1,12.0,15.2,0.0,4.4,57.0
2023-09-20T10:30Z,1,0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,96.8
2023-09-20T10:30Z,2,5,1.0,0.0,0.9,0.9,0.0,17.2,0.0,1.7,78.4
2023-09-20T10:30Z,3,7,0.3,0.0,1.7,0.3,4.9,37.3,0.0,1.3,54.3
2023-09-20T10:30Z,4,3,0.4,0.0,0.3,0.3,36.8,21.7,0.0,1.7,38.7
2023-09-20T10:30Z,5,47,14.9,0.0,7.4,0.1,9.8,9.4,0.0,1.8,56.5
2023-09-20T10:30Z,6,21,0.4,0.0,5.2,6.0,1.5,15.7,0.0,4.3,67.0
2023-09-20T10:30Z,7,20,0.9,0.5,3.6,1.6,2.4,15.2,0.0,3.7,72.0
2023-09-20T10:30Z,8,28,1.3,0.8,4.6,2.5,3.6,24.5,0.0,3.5,59.2
2023-09-20T10:30Z,9,127,8.1,6.4,14.4,0.1,5.3,5.1,0.0,4.1,56.6
2023-09-20T10:30Z,10,3,0.0,0.0,0.7,0.0,0.0,24.1,0.0,6.4,68.8
2023-09-20T10:30Z,11,135,1.1,0.9,28.8,0.2,19.5,1.9,0.0,21.8,25.8
2023-09-20T10:30Z,12,123,2.2,1.7,20.6,0.4,38.8,3.7,0.0,7.0,25.6
2023-09-20T10:30Z,13,53,0.1,0.1,7.2,0.3,25.6,12.5,0.0,5.7,48.5
2023-09-20T10:30Z,14,97,0.0,0.0,12.7,0.5,50.3,1.1,0.0,5.0,30.3
2023-09-20T10:30Z,15,55,2.6,1.3,7.8,0.6,16.1,16.0,0.0,5.0,50.7
